Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","Projected LoanAmount","LoanPriorityScore",Facility No.
East Moline,SCADA Improvement project.,7807,3/1/2027,"$                        2,700,000",380,1610250
Greenup,"Construct a new water treatment plant. Replace and extend4,530 LF of watermain",7441,12/1/2026,"$                        5,500,000",375,IL0350050
East Moline,"Water treatment improvement - Clearwell, High Service Pump,and Raw Water Pump Station.",7808,3/1/2027,"$                     19,000,000",370,1610250
LaSalle,"Replace 7,571 LF of watermains.",7758,12/15/2026,"$                        3,515,000",370,IL0990300
North Park Water District,"Reconfiguration of Well #4 and install transmission main toremove PFAS.",7110,10/30/2026,"$                        6,300,000",370,IL2015500
"Illinois Alluvial Regional WaterCompany","Construction of three wells, a new finished water transmissionline, a 2 MG water tower, and additional clari-cones at thetreatment plant.",7181,12/2/2026,"$                     56,332,500",365,IL0830020
Newman,"Replace 1,400 ft of water main. Upgrade control andcommunication system",7876,11/2/2026,"$                            650,000",365,IL0410250
Sparta,Replace approx. 7 miles of raw water main,5881,2/1/2027,"$                        6,500,000",365,IL1570600
Argenta,Construct a new treatment plant building an connect Wells #2,6362,9/1/2026,"$                        5,500,000",360,IL1150050
Brimfield,"Rep lace 70,000-gal. storage tank and aerator.",7710,12/1/2026,"$                        1,000,000",360,1430150
East Dubuque,Watermain replacement and valve placement.,7609,11/1/2026,"$                        1,099,478",360,0850100
Norris City,Water Treatment Plant Rehabilitation/Replacement.,7376,2/1/2027,"$                        6,500,000",360,IL1930350
Clinton,"Elevated water storage tank and water treatment plantupgrades and improvements",7366,3/1/2027,"$                        8,560,000",355,IL0390050
Hanover Park,"Phase 3 Water Main Replacement or approximately 7,370 LF onAndover Drive South.",6355,10/15/2026,"$                        5,300,000",355,IL0314480
Hanover Park,"Phase 4 Water Main Replacement of approximately 10,270 LFon Arlington Circle.",6356,3/1/2027,"$                        5,450,000",355,IL031480
Teutopolis,"Replace 21,400 ft of watermains.",7452,2/1/2027,"$                        2,082,509",355,IL0490450
Curran Gardner Townships Public,"Install a new 12"" raw water main directionally bored under the",6294,9/1/2026,"$                        2,268,000",345,IL1675350
Fox Lake,Construct a new iron Filtration Plant at site of Well #9.,7140,12/15/2026,"$                     10,800,000",345,IL0970200
Carlinville,"Replace 2,619 LF of watermain.",7790,3/8/2027,"$                        1,376,500",340,IL1170150
Crest Hill,"Phase 2 - Install approx. 6,100 LF of cured in place pipe withinthe existing water main",6385,1/1/2027,"$                        6,000,000",340,IL1970250
Joliet,"Replacement/Installation of 21 miles of water main in 11project locations throughout the City. The work includes new",6078,2/28/2027,"$                     70,680,000",340,1970450
Sandwich,"Demolish Railroad St. treatment plant and expand Clark St.treatment plant.",7466,3/31/2027,"$                        5,300,000",340,IL034850
Sandwich,Install new booster pump/pressure reducing station.,7467,3/31/2027,"$                        2,185,000",340,IL034850
South Elgin,Spring St treatment plant renovations.,7355,9/7/2026,"$                        4,660,000",340,IL0890800
Apple River,Construct Well House No. 3 and install backup generator.,8048,8/1/2026,"$                        1,750,000",335,IL08550050
Shannon,"Replace 1,500 LF of watermains, hydrants and service lines.",6913,9/1/2026,"$                        1,000,000",330,IL0150330
Sycamore,Replace watermains and service lines,7017,8/1/2026,"$                        5,750,000",330,IL0370550
East Dundee,"Replace 2,800 LF of water main, valves, and hydrants.",7332,3/1/2027,"$                        1,770,000",325,IL0890250
Fox Lake,Construction of a iron filtration plant at Well #8.,7141,1/1/2027,"$                     12,600,000",325,IL0970200
Marshall,"Replace 1,500 water meters and 150 meter pit and yokes",3486,12/30/2026,"$                        1,250,000",325,IL0230100
Rantoul,Water treatment plants improvements,7849,12/15/2026,"$                        6,209,000",325,IL0190650
Joliet,"This project, designated as JOL 08-03, will consist of upgradesand modifications to two existing pump stations and waterstorage sites and a new PRV station. The improvements areneeded as part of the City's Alternative Water Source Program",6801,10/19/2026,"$                     12,324,000",320,1970450
Old Shawneetown,Rehab elevated storage tank.,6536,2/1/2027,"$                            725,000",320,IL0590200
Sandwich,"Replace 12,000 LF of watermains - Phase 1",7465,3/31/2027,"$                        2,300,000",320,IL034850
Thomasboro,Demolish and construct a new treatment plant.,7556,3/15/2027,"$                        2,176,175",320,IL0191950
Viola,Replace watermains - Phase 1.,7769,11/1/2026,"$                        1,625,000",320,IL1310450
Apple River,Construct new elevated tower.,7979,12/1/2026,"$                        1,500,000",315,IL08550050
Lake Zurich,"Construct new pump station and reservoir to connect toCLCJAWA water system.",7175,7/6/2026,"$                     25,000,000",315,IL0970850
Lanark,"Install radio read water meters and curb stops, purchaseremote reading equipment and software.",6560,11/1/2026,"$                        1,517,000",315,IL0150100
Rantoul,"Construction of a booster pump station and 8,700 LF of water",7791,12/15/2026,"$                        6,158,000",315,IL0190650
Montgomery,Cons truct West Receiving Station Storage Tank,7062,3/1/2027,"$                        8,720,000",310,IL0894690
Montgomery,Construct West Receiving Station,7063,3/1/2027,"$                        8,660,000",310,IL0894690
Orient,"Replace 1,200 LF of watermains, 180 meters with radio readmeters, and booster pump station. Install generator andstorage tank mixer.",6957,2/1/2027,"$                        1,350,000",310,IL0550350
Richmond,"Remove approx. 1,000 LF of water main",6814,6/1/2026,"$                            450,000",310,IL1110750
Richmond,"Phase 2 - Construction of 1,700 LF of water main, HDD creek",6815,3/15/2027,"$                            450,000",310,IL1110750
Stonington,"Coat water tower , replace watermains and  valv es, improve",7060,3/1/2027,"$                        2,500,000",310,IL0210550
Downers Grove,Phas e 2 - Demolition and replacement of Well Houses #9 and,6104,3/21/2027,"$                        7,000,000",305,IL0430300
Downers Grove,Rehabilitation of the 71st St elevated storage tank and,6105,3/21/2027,"$                        5,500,000",305,IL0430300
"Illinois Alluvial Regional WaterCompany","Constructio n of appro ximately  20  miles of fin ished watertransmission main and master meters.",7253,12/2/2026,"$                     57,500,000",305,IL0830020
Lake County Public Water District,"Replace pumps, screen and generators.",7231,1/15/2027,"$                        3,700,000",305,IL0975790
Enfield,"Install 3,000 LF of watermains, valves and hydrants - Phase 3.",6763,2/1/2027,"$                            600,000",300,IL1930200
Forreston,Replace 719 water meters.,7102,10/1/2026,"$                            450,000",300,0730200
Lena,"Replace watermains, installing hydrants and valves.",7686,12/1/2026,"$                        5,666,555",300,IL1770300
Lena,Replace watermains and service lines.,7687,12/1/2026,"$                        5,578,985",300,IL1770300
Mansfield,Phase 1 - New Well 5 and well house,7371,7/1/2026,"$                        3,652,275",300,IL1470300
New Lenox,"Replace 4,000 LF of watermains, hydrants, valves and servicelines.",7013,12/1/2026,"$                        2,400,000",300,IL1970700
Dixon,"Phase 4 - Replace approx. 2,200 ft of water main andrehabilitation of approx. 3,600 ft of water main",7516,11/3/2026,"$                        2,254,000",295,IL1030200
Loves Park,"Construct a 300,000-gallon spheroid water tower.",7605,12/1/2026,"$                        4,482,000",295,IL2010150
Freeburg,"Phase 1 Water main upgrades - Replace approximately 17,600",6277,10/15/2026,"$                        5,980,698",290,IL1630600
Joliet,"This project, designated as JOL 08-05, will consist of theconstruction of four water storage tanks as part of the City'sAlternative Water Source Program (AWSP).",7638,8/21/2026,"$                     24,972,000",290,IL1970450
Middletown,"Demolition of existing municipal water treatment plant andconstruction of a new plant",6539,7/1/2026,"$                        2,191,451",290,IL1070500
Mount Morris,Replacement of water main and appurtenances.,7407,10/1/2026,"$                        1,600,000",290,IL0030031
Bloomington,"Three reservoir management system technologies for EvergreenLake.",7784,11/15/2026,"$                        6,927,000",285,IL1130200
Channahon,Construction of 1 MG above-ground reservoir,7123,9/8/2026,"$                        4,500,000",285,IL1970200
Cullom,"Construction of 6"" water main to replace 4"" and 6"" water main",7689,12/1/2026,"$                        2,499,293",285,IL1050200
"Curran Gardner Townships PublicWater District","Rehab 3 water storage facilities. (Tank #1 - 200,000 gal, Tank #2150,000 gal, Tank #3 - 250,000 gal)",6540,10/1/2026,"$                        1,585,000",285,IL1675350
Forrest,Replace 4-inch water main with 6-inch water main.,6389,1/1/2027,"$                        3,150,000",285,IL1050450
Franklin Grove,"Construct new Well #4 including pump and building. ReplaceWell#3 building. Abandon Well #1 and its building.",7362,12/1/2026,"$                        3,988,000",285,1030250
Minooka,Construction of Delivery Site A Reservoir,7196,9/24/2026,"$                        4,200,000",285,IL0630550
Plainfield,"Replace approx. 11,100 LF of water main",6808,2/1/2027,"$                        4,570,000",285,IL1970800
Pontoon Beach Water District,Booster Station and Ground Storage Tank,7262,8/1/2026,"$                        3,200,000",285,IL1195300
Rochelle,"Construction of a new well, well pump, well building, andtransmission main.",7708,12/7/2026,"$                        4,682,000",285,1410500
Carmi,Construct two new ground water wells and well houses.,6799,2/1/2027,"$                        2,900,000",280,IL1930100
New Lenox,"Construct 6,500 LF of watermains.",7821,12/1/2026,"$                        2,824,668",280,IL0970700
North Pekin,Phase 1 Manganese Removal Water Treatment,7598,12/1/2026,"$                        4,500,000",280,IL1790550
Polo,Replacement of aged water main throughout the City,6568,2/1/2027,"$                        2,000,000",280,IL1410450
Romeoville,Year 2- Replace water mains to transition from wells to Lake,6781,11/1/2026,"$                        7,500,031",280,IL1970900
Clifton,Install new water main and rehabilitation of existing water tower,7420,1/1/2027,"$                        4,430,000",275,IL0750250
East Dundee,"Well rehabilitation, including new equipment.",7331,1/12/2027,"$                            700,000",275,IL0890250
Eldorado,"Replace 2,000 manual read meters with radio read meters anda radio read system.",7359,2/1/2027,"$                            950,000",275,IL1655030
Lake Zurich,"Replace 8,500 LF of distribution main and update infrastructurefor the new Lake Michigan source water.",7299,3/31/2027,"$                        8,000,000",275,IL0970850
Romeoville,Construction of two ground level storage tanks,7373,10/6/2026,"$                     11,000,000",275,IL1970900
Carmi,"Construct new ground storage tank and all associated piping,valves, and electrical equipment",7722,2/1/2027,"$                        1,700,000",270,IL1930100
"Central Lake County Joint ActionWater Agency",Bid Package 1 of the CLCJAWA-Lake Zurich Expansion,7258,7/16/2026,"$                     21,000,000",270,IL0971070
Mattoon,Replacement of lime system at the water treatment plant,7690,10/15/2026,"$                        5,340,000",270,IL0290250
Mount Vernon,"Replacement of 30,750 LF of water main.",5593,10/2/2026,"$                        4,650,000",270,0810300
Rapids City,"Chlorine gas monitoring, wellhouse improvements, high servicepump VFD, storage tank rehabilitation, hydrant replacementsand GIS mapping.",7724,10/1/2026,"$                        1,385,000",270,IL1610600
Winnebago,Construction of new well,6554,2/1/2027,"$                        1,120,000",270,IL2010500
Ashkum,Replace water mains,7392,11/30/2026,"$                        4,850,000",265,IL0750050
Davis,"Construct 3,742 ft of water main and new water service lines to26 existing customers",6208,11/3/2026,"$                        1,027,000",265,IL1770150
Rochelle,"Replacement of 4,540 LF of water main, 30 new water services,hydrants, valving and appurtenances.",7707,12/7/2026,"$                        2,034,000",265,1410500
Rural Wabash County Water,Rehabilitation of two existing water storage standpipes and,7259,10/6/2026,"$                        1,317,000",265,IL1850010
SLM Water Comission,Paralle l transmis sion  main to serve north service area,2963,10/1/2026,"$                        5,350,000",265,IL1635090
Taylor Springs,"Replace watermains, valves and hydrants. Phase 4",7457,2/1/2027,"$                        1,500,000",265,IL1350650
Eldorado,"Replace 6,400 LF of watermain, valves and hydrants.",7681,2/1/2027,"$                        2,600,000",260,IL1655030
Forrest,"Construction of a new chlorine building and dosing system,",6392,2/1/2027,"$                        1,500,000",260,IL1050450
North Pekin,Phase 2 w ater distributionsys tem improv ements,7599,12/1/2026,"$                     11,570,000",260,IL1790550
Sheldon,Replace watermains. Rehab water tower and hydrants.,7378,11/1/2026,"$                        4,430,000",260,IL0750800
Winnebago,Water main replacement,4890,10/1/2026,"$                        1,500,000",260,IL20105000
Forreston,Phase 3 Water main replacement,6757,10/1/2026,"$                        2,200,000",255,IL1410200
Harrisburg,Paint the 1 MG elevated storage pedosphere,7421,2/1/2027,"$                            850,000",255,IL1930350
Central Lake County Joint Action,Bid Package 3 of the CLCJAWA-Lake Zurich Expansion,7300,3/31/2027,"$                     34,000,000",250,IL0971070
Highwood,Replace watermains and lead service lines - Phase 1,7633,3/1/2027,"$                        8,662,875",250,IL0970550
Highwood,Treatment Plant improvements.,7637,3/1/2027,"$                        2,600,000",250,IL0970550
Rockford,"Construction of new water storage reservoir, water treatmentfacility, and water main",6769,5/1/2026,"$                     24,216,005",250,IL2010300
Tri-Township Water District,Rehab water storage standpipe (Tank #1),7549,2/1/2027,"$                            650,000",250,IL1190080
Brookfield,Watermain replacement - Phase 3,7462,2/1/2027,"$                     14,000,000",245,IL0310330
Chester,Removal and replacement of filter valves; painting of filter,7752,12/1/2026,"$                        2,262,000",245,IL1570100
Bensenville,Rehab  two  water  towers.,3489,8/26/2026,"$                        4,118,000",240,IL0434140
Montgomery,Replacement of existing water main,7066,3/1/2027,"$                        8,660,000",240,IL0894690
"Moultrie County Rural PublicWater District","Construct a new underground booster station includinghydraulic pumps, process piping, valving, metering, and newcommunication system. Water system improvements on valves",7597,12/30/2026,"$                        1,400,000",235,IL1395150
Zion,Water meter reading system upgrade,7566,10/1/2026,"$                        1,200,000",235,IL0972000
"Brownsville Water Project, Inc.",Rehab elevated storage tank.,6538,2/1/2027,"$                            725,000",230,IL0000
Edwardsville,"Provide additional storage, decommission a portion of WTP #1,and WTP #2 improvements. Extend sanitary sewer to WTP anddecommission a sanitary lift station.",7627,8/30/2026,"$                     29,000,000",230,IL1190250
Kewanee,"Construction of Well #6 and Well #7 and RO Membranereplacement",7694,3/1/2027,"$                        5,000,000",230,0730650
Franklin Park,"George Street water main replacement including all relatedfittings and appurtenances and 150 service laterals.",7747,7/13/2026,"$                        2,380,904",225,0310960
Indian Head Park,"Replacement of approximately 3,850 ft of water main.",7878,3/1/2027,"$                        4,304,100",225,IL0311410
Indian Head Park,"Replacement of approximately 2,020 ft of watermain.",7883,3/1/2026,"$                        1,751,900",225,IL0311410
Indian Head Park,"Replacement of approximately 2,320 ft of water main.",7884,3/1/2027,"$                        2,093,700",225,IL0311410
Irvington,"Replace approximately 18,400 LF of transite water main.",6240,9/1/2026,"$                        1,450,000",225,1890250
Seymour Public Water District,"Install a mixer in the storage tank, rehab a valve vault, install avalve and generator.",7322,1/15/2027,"$                            612,950",225,IL0190060
Zion,Phase I Water main replacement,7565,9/1/2026,"$                        1,885,000",225,IL-0972000
Burnside Water District,Replace 866 water meters with radio read meters.,7753,11/1/2026,"$                            911,168",220,IL0875050
Chatsworth,"Construct new water main.  Complete looping in the system.Install generator for wells #4 and #5.",6162,10/5/2026,"$                        2,270,000",220,IL1050100
Gorham,"Addition of new radio read metering system, new pumps, valvesand control panel, and 2 new 2"" master meters.",7051,9/1/2026,"$                            583,500",220,IL0770350
Markham,"Phase 1 - Water main replacement within the East sideneighborhood",6341,8/3/2026,"$                        2,300,000",215,IL0311770
Markham,"Phase 2 - Water main replacement within the East sideneighborhood",6342,3/30/2027,"$                        2,502,544",215,IL0311770
Trenton,"Install a 250,000-gallon elevated storage tank, and 17,000 ft of10-inch transmission main.",7388,9/1/2026,"$                        6,552,000",210,IL0270500
Mendon,"Construction of 125,000-gal pedestal style water storage tank",7956,2/1/2027,"$                        2,300,000",205,IL0010500
Odin,Replace watermains,7221,10/15/2026,"$                        3,400,000",205,IL1210350
Broughton,Watermain and meter replacement - Phase 3,5819,2/1/2027,"$                        2,600,000",200,IL0650100
Corinth Water District,Replacement of water meters.,7754,11/1/2026,"$                        1,959,000",200,IL1995120
Ridgway,"Water storage standpipe rehabilitation and replacement ofwater main, valves, and hydrants.",7596,2/1/2027,"$                        1,900,000",200,IL0590300
Romeoville,"Year 3- Replace water mains to transition from wells to LakeMichigan.",6782,11/1/2026,"$                        7,201,821",200,IL1970900
Romeoville,Year 4- Replace water mains to transition from wells to Lake,6783,3/15/2027,"$                        7,764,112",200,IL1970900
Romeoville,Year 5- Replace water mains to transition from wells to Lake,6784,3/15/2027,"$                     10,115,856",200,IL1970900
Desoto,"Replacem ent of water meters, water mains, and",6068,10/15/2026,"$                        1,500,000",195,IL0770200
North Aurora,"Replace 8,000 LFof waterm ain s.",7428,3/1/2027,"$                        4,000,000",195,IL0890600
Broughton,Watermain replacement and extension - Phase 4,5820,2/1/2027,"$                        1,575,000",190,IL0650100
Leyden Township,"Replace 7,850 LF of watermains, hydrants and valves.",6932,3/1/2027,"$                        4,554,928",190,IL0315880
Sugar Grove,Replace watermains.,7740,2/1/2027,"$                        2,500,000",190,IL1890850
Buncombe Water District,"Replace 5,000 LF of watermain, and install a new meter andmeter reading system",7768,10/1/2026,"$                        1,958,000",180,IL0775420
Galatia,Rehab of two existing elevated water storage tanks.,7860,2/1/2027,"$                        1,935,000",180,IL1650150
Sesser,Replace watermains - Phase 4,5797,2/1/2027,"$                        1,000,000",175,IL0550450
