Loan Applicant,Project Description,L17#,"EstimatedConstruction StartDate","Projected LoanAmount","PrincipalForgiveness","LoanPriorityScore",Facility No.
Crest Hill,Construction of two new City-owned pump stations,6383,8/31/2026,"$                      7,100,000","$                 1,917,000",695,IL1970250
Millstone Water District,"Phase II - New Well, Three Cell Process Waste Sludge Removal,Two Filter Rehabilitation, New Plant Valves & SCADA,Recarbonation Tank Rehabilitation, and Gannstown Water",7249,1/4/2027,"$                      3,589,000","$                     969,030",650,IL1515050
Macomb,New water treatment plant,4231,5/1/2026,"$                   44,500,000","$                 4,000,000",600,IL1090350
Kingston,"Construct 3,294 LF of watermain to connect River Oakssubdivision.",7363,2/16/2027,"$                      2,747,261","$                     741,760",555,IL0370250
Fayette Water Company,"Construction of a detention tank, ground storage tank,telemetry, and installation of water main.",6552,5/1/2026,"$                      3,361,000","$                     907,470",545,IL0510010
Peoria Heights,Implementation of a manganese treatment process at the WTP,6810,7/31/2026,"$                      3,525,000","$                     951,750",535,IL1434750
Seneca Mobile Homes LLC,"Construct new building for treatment system and new well,demolish existing treatment building.",7913,11/30/2026,"$                          950,000",$                                  -,515,IL0995425
Hopkins Park,"Replace 15,785 LF of watermain, hydrants, meters, and servicelines.",7628,11/1/2026,"$                          180,000","$                       48,600",510,IL0910040
Clark-Edgar Rural Water District,"Consolidation of the Village of Vermilion water system into theCERWD system",7542,10/15/2026,"$                      3,207,146","$                     865,929",495,IL0230010
Warrensburg,"Replace 7,360 LF of water main",6584,10/15/2026,"$                      1,576,770","$                     425,728",485,IL1150500
St. Anne,"Loop watermains, rehab water tower.",7364,8/1/2026,"$                      1,480,000","$                     399,600",470,IL0910700
Cerro Gordo,"Treatment plant improvements; paint the 100,000-gal watertower; and replace watermains",4822,11/2/2026,"$                      3,100,000","$                     837,000",465,IL1470100
Carbondale,"Replace existing gas chlorine at WTP with an On-site sodiumhypochlorite generation system.",7813,3/31/2027,"$                      3,300,000",$                                  -,460,IL0770150
East Alton,Emerging Contaminant - PFAS Removal,7281,11/2/2026,"$                      6,287,000","$                 1,697,490",455,IL1190200
Tallula,"Construction of new water treatment plant and associateddetention tanks, underground piping and utilities, backwashbasins, new well and demolition of the existing treatment plant.",7483,10/20/2026,"$                      4,518,160","$                 1,219,903",455,IL1290250
Fulton,"Repaint an elevated storage tank and construct approximately7,260 ft of water main.",4297,6/1/2026,"$                      3,230,000","$                     872,100",450,1950250
New Haven,"Construct a new well and replace 4,200 LF of raw watermain.",7417,1/1/2027,"$                      1,500,000","$                     405,000",450,IL0590150
Tampico,"Construct new treatment plant for removal of manganese, ironand arsenic from raw water.",7429,3/1/2027,"$                          795,000","$                     214,650",450,IL1950550
Spring Valley,Install new Well 12 and replace watermains,7862,12/1/2026,"$                      7,100,000","$                 1,917,000",445,IL0630200
Harvard,Phase 1 Water Main Replacements.,7742,3/31/2027,"$                      7,585,500","$                 2,048,085",430,IL1110250
Milan,"Install approx. 3,720 ft of water main",7793,12/1/2026,"$                      1,692,700","$                     457,029",430,IL1610400
Rock Falls,"Water treatment plant and detention tank rehabilitation, as wellas elevated water storage tank maintenance.",6937,12/1/2026,"$                      1,498,000","$                     404,460",430,1950450
Keithsburg,Install water meters.,7890,3/31/2027,"$                          675,000","$                     182,250",425,IL1310150
"Clayton-Camp Point WaterCommission","Construction of a new 1,000,000 gallon water tank. Demolitionof the existing tank.",7767,11/2/2026,"$                      7,465,000","$                 2,015,550",415,IL0015200
Kampsville,New treatment plant.,7313,1/4/2027,"$                      3,260,000","$                     880,200",415,IL0130250
Kampsville,Construct a new well.,7314,1/4/2027,"$                          730,000","$                     197,100",415,IL0130250
"W2E, Incorporated","Construction of ground water treatment plant, ground storagetank, and installation of approx. 2,514 water main",6742,8/1/2026,"$                   11,998,301","$                 3,239,541",415,IL00000
Ashmore,"Replacement of approximately 5,100 LF of water mainsincluding services lines and related appurtenances.",7926,3/1/2027,"$                          163,000","$                       44,010",405,IL0290050
Crest Hill,The Eastern Receiving Station Ground Level Storage Tank,7610,9/21/2026,"$                      3,500,000",$                                  -,405,IL1970250
Harmon,New Well #10 and modify the treatment plant.,7819,2/1/2027,"$                      1,710,000","$                     461,700",405,IL1030300
Keithsburg,"Water treatment improvements including a package aeration,detention and filtration systems.",7889,3/31/2027,"$                      2,550,000",$                                  -,405,IL1310150
Rockdale,"Construction of 250,000-gallon water storage tank",7318,4/21/2026,"$                      1,175,000",$                                  -,405,IL1970850
Geneva,"Replacement of existing 6-inch, 8-inch, and 10-inch cast ironwater mains",6747,8/24/2026,"$                      3,330,000",$                                  -,400,IL0890350
Morris,"Construction of new Water Treatment Plant, water mains, Well8 & 9, and well houses",6276,10/16/2026,"$                   26,000,000","$                 4,000,000",395,IL0630600
Winslow,"Construction of new Well #2 and well building, and floodprotection wall for existing Well #1 and well building",7663,3/1/2027,"$                      2,937,000","$                     792,990",395,IL1770550
Chenoa,"Remove and replace lead service lines and watermains, andlooping dead ends",7337,12/1/2026,"$                      3,535,180","$                     954,499",390,IL1130300
Chenoa,"Removal and replacement of lead service lines andwatermains, and loop dead ends",7338,12/1/2026,"$                      2,706,170","$                     730,666",390,IL1130300
Itasca,Phase 4 - Water main replacement.,6244,3/15/2027,"$                      5,100,000",$                                  -,390,IL0430500
Mazon,"New water treatment plant, demolition of existing plant, newforce main and lift station for backwash disposal.",7030,10/30/2026,"$                      8,499,000","$                 2,294,730",390,IL0630500
Salem,"Replace 1,600 LF of watermains, valves, meters, hydrants andservice lines",7398,10/1/2026,"$                          841,700","$                     227,259",390,IL1210450
Toledo,"Replace meters, line raw water retention tank and construct aninterconnect to EJ Water.",7237,6/1/2026,"$                          784,883","$                     211,918",390,IL0350200
Fairbury,Water treatment plant improvements,7094,11/1/2026,"$                   10,800,000","$                 2,916,000",385,IL1050350
"Fox Lawn Homeowners WaterAssociation","Construction of new Well #2, and required electrical and pipingimprovements.",7948,1/1/2027,"$                          954,000",$                                  -,385,IL0935150
