Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","Projected LoanAmount",Facility No.
Abingdon,"Purchase of household filtration devises and replacementcartridges.",,5/1/2026,"$                       1,175,012",IL0950050
ABS Water Co-Operative,"Rehabilitation of existing water storage tanks, including coatingreplacement, structural repairs, and associated improvementsto maintain system integrity and reliability.",,3/31/2026,"$                       5,447,490",IL0015350
Anna,"Phase 1 Water Main and Service Line Replacement.Approximately 18,300 ft of water main and 260 service lines.",7765,11/1/2026,"$                       7,042,000",IL1810050
Annawan,Multiple water main projects,7843,9/28/2026,"$                       7,502,600",IL 0730150
Astoria,"Addition of a new well, well and filter rehab, third high servicepump",7692,3/22/2027,"$                       2,317,000",IL0570050
Beaverville,"Replace 6,000 LF of watermain and valves. Improvements totreatment plant, including aeration system.",,12/1/2027,"$                           500,000",IL0750100
Bellmont,"Replace 9,120 LF of watermain, hydrants, valves, and servicelines.",7691,12/1/2027,"$                           195,000",IL1850100
Bensenville,"Replace 3,947 ft of 6"" water main to 8"" water main, replace2,050 ft of 10"" water main to 12"" water main, and water services",,3/15/2027,"$                       3,900,000",IL0434140
Bensenville,"Replace 3,100 ft of 6"" water main to 8"" water main, and waterservices",,7/1/2028,"$                       1,500,000",IL0434140
Bensenville,"Replace 2,900 ft of 6"" water main to 8"" water main, and waterservices",,7/1/2029,"$                       1,100,000",IL0434140
Bensenville,"Abandon of 482 of 6"" water main, install 900 ft of 12"" watermain, replace 5,015 ft of 6"" water main to 8"" water main, andwater services.",,7/1/2030,"$                       3,700,000",IL0434140
Blue Island,Water System Improvements Program,,6/14/2027,"$                    20,000,000",IL0310240
Breese,"Increase capacity and improve operations of the watertreatment plant.",,8/31/2028,"$                    15,100,000",IL0270250
Broadview Estates MHP,"Replace watermains, service lines, and valves. Rehabtreatment plant. Install generator.",,3/2/2027,"$                           500,000",IL1795365
Camp Grove Water Company,"Construction of a new well including a packaged treatmentunit, along with electrical and backup generators.",8004,2/1/2027,"$                       2,500,000",1235100
Carlinville,"Replace 2,718 LF of watermain.",8018,3/6/2028,"$                       1,982,510",IL1170150
Carlinville,"Replace 3,748 LF of watermains.",8019,3/6/2029,"$                       2,041,440",IL1170150
Carlinville,"Phase 4 - Replacing approx. 3,430 LF of water main",8020,3/5/2030,"$                       2,010,850",IL1170150
Carlinville,"Phase 5 - Replace approx. 3,599 LF of water main",8021,3/4/2031,"$                       2,090,530",IL1170150
"Central Lake County Joint ActionWater Agency","Construct 54-inch raw water intake approx. 5,000 ft into LakeMichigan",5186,6/30/2028,"$                    21,000,000",IL0971070
Centralia,"Replacement of water main along Jolliff Bridge Road andCollege Road with new 12-inch PVC water main.",,8/1/2027,"$                       4,000,000",IL1214220
Chester,New PAC Feeder and Chemical Feed Building.,7757,4/1/2027,"$                       4,767,000",IL1570100
Chester,"Installation of a new water source for the City, new raw watermain, and water treatment plant improvements.",7919,1/1/2028,"$                    22,519,000",IL1570100
Chester,"Paint and repair Grade School water storage tank and red dotdouble ellipsoidal tank",7871,7/1/2027,"$                       1,415,000",IL1570100
Chicago,Joliet Tunnel Connection,7910,1/30/2027,"$                    25,700,000",IL0316000
Chicago,Switchgear Replacement,7938,1/1/2027,"$                    15,330,000",IL0316000
Chicago,"Phase 1 - Rehabilitate existing mono-media sand filters at theSWPP",7950,12/31/2026,"$                    76,341,000",IL0316000
Chicago,"Phase II - Rehabilitation of existing mono-media sand filters atthe SWPP",7951,12/31/2026,"$                    77,048,000",IL0316000
Chicago,"Phase III - Rehabilitation of existing mono-media sand filters atthe SWPP",7952,12/31/2026,"$                    89,319,000",IL0316000
Chicago,Replace approx. 17.53 miles of water mains,,8/30/2027,"$                    98,214,890",IL0316000
Clarendon Hills,Watermain replacement and SCADA improvements - Phase 1,7920,3/1/2027,"$                       1,629,875",0430250
Clarendon Hills,Watermain replacement - Phase 2,7921,3/1/2028,"$                       5,128,500",0430250
Clarendon Hills,Phase III Water Main Replacement Project,7922,3/1/2029,"$                       3,880,500",0430250
Clarendon Hills,Phase IV - Water main replacement projects.,7923,3/1/2030,"$                       6,805,500",0430250
Collinsville,"Design and construction of PFAS treatment system for drinkingwater.",7892,12/15/2027,"$                    14,500,000",IL1194280
Cowden,"Construction of a new well, access road, raw water main andall appurtenances; as well as water tower painting.",7875,11/1/2027,"$                       1,074,500",IL1730050
Crestwood,Replace water main throughout the Village,5525,3/1/2027,"$                       7,729,603",IL0310600
Cuba,Point-of-use drinking water filtration project,,7/1/2026,"$                           655,808",IL0570300
East Moline,"Design and construction of a PAC feed system to treatPFOA/PFOS.",,3/31/2027,"$                       3,000,000",IL1610250
EJ Water Cooperative,"Construct 21,017 LF of watermain to connect the Village ofDewey to the Village of Fisher's water system.",,9/1/2027,"$                           923,410",IL0790010
EJ Water Cooperative,Expanding capacity of the treatment plant.,7569,10/1/2027,"$                    13,500,000",IL0790010
Elmhurst,"Rehab the north, south and west reservoirs and boosterstations, and improve SCADA.",7995,10/15/2026,"$                       7,500,000",IL0430350
Elmwood Park,"Remove and replace watermains and lead service lines - Phase1",8014,3/1/2028,"$                    10,975,120",IL0310780
Elmwood Park,Remove and replace watermains and service lines - Phase 2,8015,3/1/2029,"$                    12,299,040",IL0310780
Elmwood Park,"Remove and replace watermains and lead service lines - Phase3.",8016,3/1/2030,"$                    17,517,760",IL0310780
Elmwood Park,"Remove and replace watermains and lead service lines - Phase4.",8017,3/1/2031,"$                       8,387,600",IL0310780
Elwood,New 1.0 MG elevated water storage tank.,,9/1/2027,"$                       7,637,000",IL1970350
Essex,Construct a new community water system.,,6/1/2027,"$                       9,900,000",IL000
Fayette Water Company,"Install approximately 14,700 LF of water main, a new well, andpaint a storage tank.",7859,10/1/2027,"$                       1,641,490",IL0510010
Flora,"Installation of approximately 10,490 LF of watermain, meters,valves, hydrants, and service lines.",,10/1/2027,"$                       1,954,199",IL0250100
Forest Park,"Phase 1 - Water main and lead service line replacement, as wellas SCADA upgrades.",,3/1/2027,"$                       4,597,450",IL0310900
Forest Park,"Water tower maintenance and installation of a pump stationbackup generator.",,3/1/2031,"$                       1,170,000",IL0310900
Galena,Replacing 10-inch mains along Franklin Street.,7997,5/1/2027,"$                       2,135,000",IL0850200
Geneseo,"Develop additional wells, treatment facilities, and construct a500,000 gallon above ground storage tank to expand capacityand add redundancy.",,5/1/2027,"$                    10,000,000",IL0730500
Georgetown,Install Well 3 and approximately 5500LF of water main.,,4/1/2028,"$                       4,800,000",IL1830350
Glenwood,"Water Main Replacement of approximately 10,625 ft.",6593,10/15/2026,"$                       6,300,000",IL0311050
Godley Public Water District,"Constructing a river water withdrawal facility in Custer Park aspart of the Kankakee River Valley Tri-County WaterCollaborative's plan to provide safe and plentiful water to area",5401,3/1/2027,"$                       5,000,000",IL1970130
Grand Prairie Sanitary Dist.,"New water supply wells, water treatment plant and storagereservoir to serve the LaFox of Campton Hills development.",,5/1/2027,"$                    10,000,000",tbd
Granville,Water main replacement in multiple areas,7967,12/15/2026,"$                       2,771,571",IL1550050
Hanna City,"Construct a 200,000-gallon elevated storage tank with a valvecontrol building.",7082,11/2/2026,"$                       3,600,000",IL1430400
Hanover,Replace watermains.,8008,9/1/2026,"$                           605,260",IL0850250
Harvey,Tank Rehabilitation Project,,2/1/2027,"$                       2,000,000",IL0311110
Harvey,Tank rehab and replacement.,,6/14/2027,"$                       2,000,000",IL0311110
Hinsdale,Water Main and Lead Service Line Replacements,7966,3/1/2030,"$                       2,925,000",IL0434520
Hopewell,"Construct new well and 50,000 gallon elevated storage tank.",,3/1/2028,"$                       5,534,600",IL1235150
Hull,"New ground storage tank, wells, backup generator andtransmission main.",,7/1/2027,"$                       2,853,000",IL1490350
"Illinois Alluvial Regional WaterCompany","Construction of approximately 14 miles of finished watertransmission main and master meters.",7254,12/2/2026,"$                    21,500,000",IL0830020
Knoxville,"Point-of-use drinking water filtration for all households toremove PFAS, manganese and other emerging contaminants.",,7/1/2026,"$                       1,104,813",IL0950450
Lake Villa,"Replace 4,000 LF of watermains, valves and hydrants.",,5/1/2028,"$                       2,700,000",IL0970840
Latham,"Construct a 75,000-gallon water tower.",7937,2/1/2027,"$                           102,475",IL1070300
Mill Creek Water District,"Construct a new 250,000-gallon elevated water storage tankand water system improvements",,3/31/2027,"$                       5,524,850",IL0015300
Minonk,Water treatment facilities upgrades,8001,7/15/2027,"$                       3,176,200",IL2030400
Mound City,"Replacement of water mains, hydrants, valves, water servicelines and meters.",7022,10/1/2026,"$                       2,487,574",IL1530100
Mount Morris,"Construction of a new municipal Well and Wellhouse No.6,approximately 5,230 fee of water main, and a new backupgenerator.",8005,2/1/2027,"$                       5,326,992",IL0030031
Mount Morris,"Construction of a new 250,000-gallon storage tank and watermain improvements.",8006,3/1/2028,"$                       5,571,016",IL0030031
Mount Morris,"Decommissioning of Well and Wellhouse No.2, replacement ofWellhouse No.3 & 4 buildings, and water main improvements.",8007,3/1/2029,"$                       5,568,420",IL0030031
New Holland,"Replace 3,000 LF, construct 30,000 LF of watermain betweenthe Village and Mason City, and demolish water tower.",6753,10/31/2027,"$                       2,538,352",IL1070450
Noble,Repaint water tower.,,6/15/2027,"$                           370,000",IL1590150
North Park Water District,Drill a new well.,,1/4/2027,"$                       1,880,510",IL2015500
North Park Water District,Water treatment plant for Well #8 to remove PFAS.,,1/3/2028,"$                    17,471,920",IL2015500
Ogden,"Replace water mains and meters. Improvements at treatmentplant.",,4/1/2027,"$                       5,378,000",IL0190500
Orangeville,"Replace watermains, valves, hydrants, booster pump andgenerator - Phase 2.",7029,3/1/2027,"$                       1,606,945",IL1770350
Park Ridge,Water System Improvements,,3/1/2027,"$                    10,400,000",IL0312460
Park Ridge,"Phase 1 - Removal and replacement of water main and leadservice lines",,3/1/2027,"$                       7,428,200",IL0312460
Park Ridge,"Phase II - Removal and replacement of water main and leadservices",,3/1/2027,"$                       6,047,080",IL0312460
Park Ridge,"Phase III - Removal and replacement of water main and leadservice lines",,3/1/2029,"$                       6,467,760",IL0312460
Park Ridge,"Phase IV - Removal and replacement of water main and leadservice lines",,3/1/2029,"$                       6,693,180",IL0312460
Percy,"Install new cellular meters for the Villages water distributionsystem",,7/1/2027,"$                           265,000",IL1570350
Percy,"Replace 5,660 LF of water main and all related appurtenances",,7/1/2027,"$                       1,493,070",IL1570350
Pingree Grove,Construction of an elevated water tower,6159,12/1/2026,"$                       7,245,000",IL0890160
Quincy,"Construct new lime softening clarifier to replace deterioratedunit",,11/1/2027,"$                       7,490,000",IL0010650
Reddick,Construct a second/backup well,,8/1/2026,"$                           845,000",IL0914780
Rio,"Install watermain for looping, and backup generator, and paintthe elevated storage tower.",,5/1/2027,"$                       1,850,000",IL0950450
Scales Mound,"Replace Well #3 building, construct pump station.",7450,3/1/2027,"$                       2,104,500",IL0850400
Scales Mound,Purchase and install water meters village wide.,7451,3/1/2027,"$                           801,000",IL0850400
Secor,"Construct a new treatment plant, deconstruct old plant, rehabwells and water tower",,3/1/2027,"$                       2,650,000",IL2030600
Shawneetown,"Countertop point-of-use filtration unit to all households foremerging contaminants.",,5/1/2026,"$                           404,611",IL0590350
Sibley,WTP upgrades,6537,7/1/2027,"$                           650,000",IL0530400
Steger,"Rehab well houses and SCADA, replace watermains, constructnew well.",,11/1/2027,"$                    10,000,000",IL0314860
