Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","Projected LoanAmount",Facility No.
Alsip,Year 2- Replace water mains,7400,11/1/2027,"$                   3,422,334",IL0310030
Alsip,Year 3- Replace water mains,7401,8/1/2028,"$                   4,441,756",IL0310030
Alsip,Year 4- Replace water mains,7402,8/1/2029,"$                   4,007,235",IL0310030
Apple River,Construct a new test well and production Well #3.,6756,8/1/2027,"$                   1,750,000",IL08550050
Argenta,"Construct new raw water Well #4 and connect to treatmentplant.",6363,11/1/2027,"$                       400,000",IL1150050
"Central Lake County Joint ActionWater Agency",Bid Package 4 of the CLCJAWA-Lake Zurich Expansion,7301,9/30/2027,"$                34,000,000",IL0971070
Channahon,"Construction of primary receiving and pumping station and asecondary receiving station",7138,7/5/2028,"$                10,500,000",IL1970200
Clinton,"Replacement of approx. 2,100 ft of water main",7367,4/1/2028,"$                   5,110,000",IL0390050
Crest Hill,"Phase 3 - Install approx. 4,000 LF of cured in place pipe withinthe existing water main",6386,1/1/2028,"$                   3,850,000",IL1970250
Crest Hill,"Phase 4 - Install approx. 1,500 LF of cured in place pipe withinthe existing water main and new main",7147,1/1/2029,"$                   1,500,000",IL1970250
Dixon,"Phase 5 - Replace approx. 9,400 ft of water main",5649,11/2/2027,"$                   3,785,000",IL1030200
Dixon,"Phase 6 - Replace approx. 7,600 ft of water main",5650,11/1/2028,"$                   2,188,000",IL1030200
East Moline,"Water Treatment Improvements - Filter Rehabilitation andOffice/Maintenance Building",7809,3/1/2031,"$                20,680,000",1610250
Flossmoor,Sterling Avenue Pump Station rehabilitation,7316,10/1/2027,"$                       670,000",IL0310870
Flossmoor,Vollmer Road Pump Station and reservoir rehabilitation.,7560,10/1/2027,"$                   3,295,000",IL0310870
Forest Park,"Decommissioning and construction of a pump station andreservoir, as well as water transmission main extension.",7698,4/1/2027,"$                13,000,000",IL0310900
Forsyth,Water main replacement.,5926,10/1/2027,"$                   1,800,000",IL1150200
Freeburg,"Phase 2 Water main upgrades - Construction of a 10-inch feedline, FSH connection, ground storage tank, and booster pumpstation.",6278,10/15/2027,"$                   2,568,458",IL1630600
Freeburg,"Phase 3 Water main upgrades - Replace approximately 17,000LF of water main and demolish East Tower.",6279,10/15/2028,"$                   2,759,820",IL1630600
Freeburg,"Phase 4 Water main upgrades - Replace approximately 14,000LF of water main.",6280,10/15/2029,"$                   3,429,435",IL1630600
Grand Prairie Water Commission,"AWSP 02-04 FWTM Segment D: Approx 7 miles of new 66"" watertransmission main beginning at a point on Bell Rd approx 0.1miles north of 131st St and running west along 131st St, ArcherAve, and 135th St to just east of the Illinois and Michigan Canal.",7040,6/4/2027,"$             120,740,654",IL1970470
Grand Prairie Water Commission,"Cal-Sag Channel crossing is anticipated to be constructed inPalos Hills and Palos Park, north of IL Rt 83 near 86th avenue.",7649,6/4/2027,"$                51,504,451",IL1970470
Grand Prairie Water Commission,"Finished water transmission main consists of large diameterpipe, 60"" to 66"" in diameter running from the west side of theDes Plaines River to approx one half mile south of Renwick",7651,6/4/2027,"$             134,610,000",IL1970470
Harmon,"New 50,000 gallon elevated storage tank.",7820,1/1/2030,"$                   1,876,000",IL1030300
Harvard,Water Meter Replacement.,7743,4/1/2028,"$                   3,480,000",IL1110250
Harvard,Water storage maintenance.,7744,4/1/2029,"$                   1,755,000",IL1110250
Homer,Construct a new treatment facility.,7506,12/15/2027,"$                   5,000,000",IL0190300
Indian Head Park,"Replacement of approximately 1,115 ft of watermain.",7885,3/1/2029,"$                   1,493,300",IL0311410
Indian Head Park,"Replacement of approximately 1,140 ft of water main.",7886,3/1/2029,"$                   1,232,900",IL0311410
Indian Head Park,"Replacement of approximately 2,170 ft of water main.",7887,3/1/2030,"$                   3,481,900",IL0311410
Jewett,"Replacement of water main, hydrant assembly, meters, valves,service lines and appurtenances.",7176,12/1/2027,"$                       228,138",IL0350100
Joliet,"This project, designated as JOL 08-06, will consist of theconstruction of two new pump stations as part of the City'sAlternative Water Source Program (AWSP).",7639,6/15/2027,"$                34,270,000",IL1970450
Joliet,"This project, designated as JOL 08-02, will consist of theconstruction of two elevated water storage tanks as part of theCity's Alternative Water Source Program (AWSP).",6787,2/9/2028,"$                17,271,000",1970450
Joliet,"Replacement/installation of 21 miles of water main in 12project locations throughout the City. The work includes newwater main, hydrants, valves, water services, and trench",6087,2/29/2028,"$                80,880,000",1970450
Joliet,"This project, designated as JOL 08-07, will consist of theconstruction of a new pump station and implementingupgrades to an existing facility as part of the City's AlternativeWater Source Program (AWSP).",7640,12/27/2028,"$                12,500,000",IL1970450
Joliet,"Replacement/installation of 24 miles of water main in 13project locations throughout the City. The work includes newwater main, hydrants, valves, water services, and trench",6088,2/28/2029,"$                87,000,000",1970450
Joliet,"Replacement/installation of 2 miles of water main in 3 projectlocations throughout the City. The work includes new watermain, hydrants, valves, water services, and trench restoration.",6089,2/28/2030,"$                   8,760,000",IL1970450
Kincaid,Replace watermains,6061,6/1/2027,"$                   2,200,000",IL0210250
Kincaid,"Construct a 100,000-gallon elevated tower and replacewatermains.",6062,11/1/2027,"$                   2,400,000",IL0210250
Lake Villa,"Replace 4,000 LF of watermain, valves and hydrants.",6934,5/1/2027,"$                   2,910,500",IL0970840
Le Roy,"Replace 2,100 LF of watermains.",7601,9/28/2027,"$                       883,270",IL1130750
Lena,Replace watermains and hydrants.,7688,8/22/2028,"$                   4,549,380",IL1770300
Mansfield,Phase 2 - Water System Improvements,8040,5/1/2028,"$                   4,445,000",IL1470300
Markham,"Phase 3 - Water main replacement within the East sideneighborhood",6343,3/30/2028,"$                   2,648,130",IL0311770
Markham,"Phase 4 - Water main replacement within the East sideneighborhood",6344,3/30/2029,"$                   2,722,053",IL0311770
Markham,"Phase 5 - Water main replacement within the East sideneighborhood",6345,3/30/2030,"$                   2,722,053",IL0311770
Markham,"Phase 6 - Water main replacement within the East sideneighborhood",6346,3/30/2031,"$                   3,503,648",IL0311770
Minooka,Construction of two Lake Michigan water receiving stations,7197,9/4/2028,"$                10,250,000",IL0630550
Mount Vernon,"Installation of a pump station, approximately 27,500 LF, and allassociated fittings, hydrants and valves.",5594,10/2/2028,"$                   4,735,000",0810300
New Lenox,"Replace 4,700 LF of watermains, hydrants, valves and servicelines.",7014,12/1/2027,"$                   3,000,000",IL1970700
North Park Water District,"Drill a new well and construct a new treatment plant toeliminate PFAS.",7893,3/31/2028,"$                21,738,160",IL2015500
Palos Heights,"Replace approximately 3,200 ft of water main",6286,1/1/2028,"$                   1,698,800",IL0312370
Palos Heights,"Replace 4,000 ft of water main",6287,1/1/2029,"$                   2,137,500",IL0312370
Palos Heights,"Replacement of approximately 6,000 LF of watermains with 8-inch ductile iron in residential areas.",6289,1/1/2030,"$                   3,356,400",IL0312370
Pike County Water District,"Extend PCWD No. 1 public water service to served PossumHoller, install new water main and elevated storage tank.",6553,7/1/2027,"$                   5,447,490",IL1495000
Plano,"Removal and replacement of approx. 2,023 LF of existing watermains",7794,7/1/2027,"$                   2,265,142",IL0930200
Powers Water Company,"New well, new well house, pneumatic tank, electrical andcontrols, raw water force main",6583,4/1/2027,$                                      0,IL00895550
Richton Park,"Rehabilitation of water treatment plant including the addition ofa chlorine scrubber enclosure.",7358,7/1/2027,"$                   5,767,151",IL0312550
Rock Falls,"Phase 2: Construct approx. 4,130 ft of water main",6938,12/1/2027,"$                       890,000",IL1950450
Rock Island,"Replace existing potable water storage tanks and pump stationwith new reservoir, water well, and pump station.",7726,5/1/2027,"$                35,000,000",IL1610650
Rockdale,"Replacing approx.3,100 LF of water main",6777,7/19/2027,"$                   3,752,000",IL1970850
Rockdale,"Construction of new HMO Water Treatment Plant, pumpstation, and Well No. 8",7319,9/15/2027,"$                   6,900,000",IL1970850
Rockdale,"Construction of 2,800 LF of water main to deliver water fromWell No. 8 to new HMO Treatment Plant and community",7320,9/15/2027,"$                   2,154,000",IL1970850
Rockdale,"Replacement of approximately 6,100 LF of water main.",3587,7/17/2028,"$                   7,900,000",1970850
Rockdale,"Replace approx. 5,300 LF of water main",6780,7/17/2028,"$                   6,865,000",IL1970850
Romeoville,Construction of receiving and pump station,7372,7/5/2028,"$                12,500,000",IL1970900
Sandwich,"Replace 11,000 LF of watermains - Phase 2",7490,3/31/2028,"$                   2,286,000",IL034850
Sandwich,"Replace 11,000 LF of watermains - Phase 3.",7491,3/31/2029,"$                   2,300,000",IL034850
Sandwich,"Replace 9,000 LF of watermains - Phase 4.",7492,3/31/2030,"$                   1,700,000",IL034850
Sandwich,"Replace 11,000 LF of watermains - Phase 5",7493,3/31/2030,"$                   2,200,000",IL034850
Tovey,Replace watermains and meters. Phase 1,6378,10/1/2027,"$                   3,009,000",IL0210650
Tovey,Replace watermains and meters. Phase 2,6379,5/1/2029,"$                   2,834,000",IL0210650
Tri-Township Water District,Rehab water storage standpipe (Tank #2),7553,2/1/2028,"$                       675,000",IL1190080
Viola,Replace watermains - Phase 2.,7770,3/1/2030,"$                   1,632,000",IL1310450
Viola,Replace watermains - Phase 3.,7773,3/1/2033,"$                       918,000",IL1310450
Viola,Replace watermains - Phase 4.,7774,3/1/2036,"$                   1,837,000",IL1310450
Westmont,Extend Water Service to Liberty Park subdivision.,6958,9/1/2027,"$                   6,058,000",IL0430950
Westmont,Extend Water Service to Liberty Park Subdivision.,6960,9/1/2027,"$                   4,199,000",IL0430950
Zion,Phase II - Water main replacement,7927,6/1/2027,"$                   3,900,000",IL0972000
Zion,Phase III - Water main replacement,7928,6/1/2028,"$                   3,900,000",IL0972000
Zion,Phase IV: Water main replacement,7929,6/1/2029,"$                   3,900,000",IL0972000
