Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","ProjectedLoan Amount","PrincipalForgiveness","PWSLPFundingNeeded","LoanPriorityScore",Facility No.
Keithsburg,"Water treatment improvements including a package aeration,detention and filtration systems.",7889,3/31/2027,"2,550,000",$                     -,"$       2,550,000",405,IL1310150
Rockdale,"Construction of 250,000-gallon water storage tank",7318,4/21/2026,"1,175,000",$                     -,"$       1,175,000",405,IL1970850
Mazon,"New water treatment plant, demolition of existing plant, new forcemain and lift station for backwash disposal.",7030,10/30/2026,"8,499,000",$                     -,"$       8,499,000",390,IL0630500
Rockdale,Construction of new water well,7317,9/16/2026,"2,386,000",$                     -,"$       2,386,000",385,IL1970850
"North ParkWater District","Reconfiguration of Well #4 and install transmission main to removePFAS.",7110,10/30/2026,"6,300,000",$                     -,"$       6,300,000",370,IL2015500
Fox Lake,Drill a new Well #8 to replace Well #4.,6376,1/1/2027,"750,000",$                     -,"$           750,000",365,IL0970200
Fox Lake,Construct a new iron Filtration Plant at site of Well #9.,7140,12/15/2026,"10,800,000",$                     -,"$     10,800,000",345,IL0970200
South Elgin,Spring St treatment plant renovations.,7355,9/7/2026,"4,660,000",$                     -,"$       4,660,000",340,IL0890800
Fox Lake,Construction of a iron filtration plant at Well #8.,7141,1/1/2027,"12,600,000",$                     -,"$     12,600,000",325,IL0970200
Channahon,Construction of 1 MG above-ground reservoir,7123,9/8/2026,"4,500,000",$                     -,"$       4,500,000",285,IL1970200
Franklin Grove,"Construct new Well #4 including pump and building. Replace Well#3building. Abandon Well #1 and its building.",7362,12/1/2026,"3,988,000",$                     -,"$       3,988,000",285,1030250
North Pekin,Phase 1 Manganese Removal Water Treatment,7598,12/1/2026,"4,500,000",$                     -,"$       4,500,000",280,IL1790550
