Rank,Loan Applicant,Project Description,L17#,"PriorityScore","MHIBelowStateAvg","Total FundingRequested","Loanat 0.00%",MHI $
1,Evanston,Phase 3: Replacement of approximately 500 lead service lines.,6322,260,YES,"$5,000,000","$5,000,000","$67,020"
2,Evergreen Park,Replacement of approximately 800 lead service lines.,6765,260,YES,"$10,000,000","$10,000,000","$82,955"
3,East Moline,Phase 4: Replacement of approximately 499 lead service lines.,6998,255,YES,"$5,000,000","$5,000,000","$59,530"
4,Homewood,Phase 2: Removal of approximately 250 lead service lines.,7880,255,YES,"$3,014,667","$3,014,667","$76,043"
5,Homewood,Phase 3: Removal of approximately 251 lead service lines.,7881,255,YES,"$3,014,667","$3,014,667","$76,043"
6,Skokie,Phase 2: Replacement of 350 lead service lines,7394,255,YES,"$6,000,000","$6,000,000","$60,671"
7,White Hall,Replace 89 Lead Service Lines.,7165,255,YES,"$784,000","$784,000","$55,054"
8,Carlinville,Replacement of approximately 225 lead service lines.,7576,250,YES,"$3,027,000","$3,027,000","$59,637"
9,Chicago,Replacement of approximately 200 lead service lines.,7902,250,YES,"$4,000,000","$4,000,000","$68,527"
10,Chicago,Replacement of approximately 100 lead service lines.,8059,250,YES,"$2,000,000","$2,000,000","$48,160"
11,Steger,Replace 60 Lead Service Lines,6339,250,YES,"$1,000,000","$1,000,000","$72,359"
12,Summit,Replace 700 Lead Service Lines.,8033,250,YES,"$10,000,000","$10,000,000","$73,494"
13,Blue Island,Phase 3: Replacement of approximately 330-400 lead service lines.,6987,245,YES,"$8,000,000","$8,000,000","$46,430"
14,Joliet,Replacement of approximately 495 lead service lines.,6081,245,YES,"$5,580,000","$5,580,000","$61,010"
15,Savanna,Replace 101 Lead Service Lines.,7431,245,YES,"$2,000,000","$2,000,000","$49,821"
16,Stickney,Replace Lead Service Lines,7268,245,YES,"$5,000,000","$5,000,000","$66,942"
17,Berkeley,Replacement of approximately 228 lead service lines.,7035,240,NO,"$3,992,000","$3,992,000","$85,521"
18,Kincaid,Phase 2: Replacement of approximately 111 lead service lines.,7712,240,YES,"$1,800,000","$1,800,000","$68,214"
19,LaSalle,Replacement of approximately 500 lead service lines.,7288,240,YES,"$3,967,000","$3,967,000","$56,278"
20,Lewistown,Replacement of approximately 96 lead service lines.,7684,240,YES,"$1,250,000","$1,250,000","$63,191"
21,South Holland,Replace 450 Lead and Galvanized Service Lines,7611,240,YES,"$8,000,000","$8,000,000","$73,942"
22,Blue Island,Phase 1: Replacement of lead service lines.,6985,235,YES,"$5,000,000","$5,000,000","$56,449"
23,East Moline,Phase 1: Replacement of approximately 482 lead service lines.,6995,235,YES,"$5,000,000","$5,000,000","$64,587"
24,Harvard,Phase 1 Replace Lead Service Lines,7741,235,YES,"$3,640,000","$3,640,000","$64,982"
25,Manlius,Replace 16 lead or galvanized service lines.,7861,235,YES,"$337,000","$337,000","$69,000"
26,Walnut,Replacement of 86 galvanized requiring replacement service lines.,7745,235,YES,"$1,524,000","$1,524,000","$69,000"
27,Bloomington,Replace 600 Lead Service Lines,7501,230,YES,"$10,000,000","$10,000,000","$58,105"
28,Greenup,Replacement of approximately 110 lead service lines.,7442,230,YES,"$2,000,000","$2,000,000","$57,027"
29,Ohio,Replacement of approximately 48 lead service lines.,7850,230,YES,"$927,000","$927,000","$68,398"
30,Skokie,Phase 3: Replacement of 350 lead service lines.,7395,230,NO,"$6,000,000","$6,000,000","$130,783"
