Rank,Loan Applicant,Project Description,L17#,"PriorityScore","MHIBelowStateAvg","Total FundingRequested","PrincipalForgiveness","Loanat 0.00%",MHI $,"MHI %of State"
1,Chicago,Replacement of approximately 200 lead service lines.,7900,375,YES,"$4,000,000","$4,000,000",-,"$34,220",41%
2,Chicago,Replacement of approximately 200 lead service lines.,7905,375,YES,"$4,000,000","$3,200,000","$800,000","$44,292",53%
3,Chicago Heights,Phase 4: Replacement of approximately 400-500 lead service lines.,7305,375,YES,"$6,000,000","$4,500,000","$1,500,000","$33,958",41%
4,Rockford,Phase 11B: Replacement of approximately 178 lead service lines.,7971,370,YES,"$2,000,000","$2,000,000",-,"$28,121",34%
5,Rockford,Phase 11C: Replacement of approximately 178 lead service lines.,7972,365,YES,"$2,000,000","$2,000,000",-,"$29,659",36%
6,Rockford,Phase 11D: Replacement of approximately 178 lead service lines.,7973,365,YES,"$2,000,000","$2,000,000",-,"$29,659",36%
7,Chicago,Replacement of approximately 100 lead service lines.,8050,355,YES,"$2,000,000","$1,600,000","$400,000","$43,077",52%
8,Chicago,Replacement of approximately 100 lead service lines.,8058,355,YES,"$2,000,000","$2,000,000",-,"$34,742",42%
9,Rockford,Phase 11A: Replacement of approximately 357 lead service lines.,7777,355,YES,"$4,000,000","$4,000,000",-,"$35,375",42%
10,Rockford,Phase 11E: Replacement of approximately 178 lead service lines.,7974,345,YES,"$2,000,000","$2,000,000",-,"$29,326",35%
11,Springfield,Replacement of approximately 500 lead service lines.,6236,345,YES,"$4,500,000","$4,500,000",-,"$23,404",28%
12,Chicago,Replacement of approximately 100 lead service lines.,8052,335,YES,"$2,000,000","$1,400,000","$600,000","$49,134",59%
13,Chicago,Replacement of approximately 100 lead service lines.,8053,335,YES,"$2,000,000","$1,000,000","$1,000,000","$60,256",72%
14,Harvey,Phase 2: Replacement of approximately 355 lead service lines.,6980,335,YES,"$8,000,000","$4,500,000","$3,500,000","$24,665",30%
15,Chicago,Replacement of approximately 200 lead service lines.,7904,330,YES,"$4,000,000","$3,200,000","$800,000","$43,800",53%
16,Chicago Heights,Phase 3: Replacement of approximately 400-500 lead service lines.,7304,330,YES,"$6,000,000","$3,300,000","$2,700,000","$54,787",66%
17,Decatur,Replace 380 Galvanized Water Service Lines.,7055,330,YES,"$4,029,413","$4,029,413",-,"$21,516",26%
18,Dolton,Replace lead service lines.,6558,330,YES,"$7,000,000","$4,200,000","$2,800,000","$54,052",65%
19,Calumet City,Replace approx. 300 lead service lines,5768,325,YES,"$4,000,000","$1,600,000","$2,400,000","$68,878",83%
20,Calumet City,Replacement of approximately 400 lead service lines.,5767,325,YES,"$4,000,000","$1,600,000","$2,400,000","$68,878",83%
21,Calumet Park,Replacement of approximately 800 lead service lines.,7004,325,YES,"$10,000,000","$4,500,000","$5,500,000","$50,946",61%
22,Chicago,Replacement of approximately 200 lead service lines.,7899,325,YES,"$4,000,000","$4,000,000",-,"$30,637",37%
23,Chicago,Replacement of approximately 200 lead service lines.,7903,325,YES,"$4,000,000","$1,200,000","$2,800,000","$72,583",87%
24,Rockford,Phase 11I: Replacement of approximately 178 lead service lines.,7978,325,YES,"$2,000,000","$2,000,000",-,"$36,140",43%
25,Chicago,Replacement of approximately 100 lead service lines.,8056,320,YES,"$2,000,000","$2,000,000",-,"$33,398",40%
26,Chicago Heights,Replacement of approximately 400-500 lead service lines.,8066,320,YES,"$6,000,000","$3,300,000","$2,700,000","$57,386",69%
27,Markham,Phase 1: Replacement of approximately 207 lead service lines.,6347,320,YES,"$1,015,740","$711,018","$304,722","$50,038",60%
28,Markham,Phase 2: Replacement of approximately 368 lead service lines.,6348,320,YES,"$2,000,000","$1,400,000","$600,000","$50,038",60%
29,Midlothian,Phase 3: Replacement of approximately 300 lead service lines.,7874,320,YES,"$5,000,000","$2,750,000","$2,250,000","$56,726",68%
30,Waukegan,Phase 6: Replacement of approximately 400 lead service lines.,8041,320,YES,"$7,000,000","$4,200,000","$2,800,000","$52,664",63%
31,Chicago Heights,Replacement of lead service lines.,7302,315,YES,"$5,000,000","$3,500,000","$1,500,000","$46,325",56%
32,Pana,Phase 1: Replacement of approximately 431 lead service lines.,7047,315,YES,"$4,199,000","$4,199,000",-,"$40,223",48%
33,Chicago,Replacement of approximately 100 lead service lines.,8054,310,YES,"$2,000,000","$2,000,000",-,"$22,865",27%
34,Decatur,Replace 380 Galvanized Service Lines,7056,310,YES,"$4,500,000","$4,500,000",-,"$33,380",40%
35,Dolton,Replace lead service lines.,6556,310,YES,"$7,000,000","$3,850,000","$3,150,000","$58,524",70%
36,Homewood,Phase 1: Removal of approximately 249 lead service lines.,7879,310,YES,"$3,014,667","$1,356,600","$1,658,067","$64,794",78%
