Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","Projected LoanAmount",Facility No.
Aqua Illinois Inc.,Phase 2: Replacement of approximately 457 lead service lines.,6971,3/30/2027,"$                 8,371,000",IL0915030
Aqua Illinois Inc.,Replacement of approximately 441 lead service lines.,6964,4/15/2027,"$                 8,000,000",IL1835120
Astoria,Replacement of approximately 62 lead service lines.,7693,3/22/2027,"$                     652,900",IL0570050
Belvidere,Replacement of approximately 115 lead service lines.,,2/1/2027,"$                 1,350,000",IL0070050
Bensenville,Phase 1: Replacement of approximately 140 lead service lines.,,3/15/2027,"$                 3,200,000",IL0434140
Bensenville,Phase 2: Replacement of approximately 140 lead services.,,7/1/2028,"$                 3,200,000",IL0434140
Bensenville,Phase 3: Replacement of approximately 140 lead service lines.,,7/1/2029,"$                 3,200,000",IL0434140
Bensenville,Phase 4: Replacement of approximately 140 lead service lines,,7/1/2030,"$                 3,200,000",IL0434140
Bensenville,Phase 5: Replacement of approximately 140 lead service lines.,,7/1/2031,"$                 3,200,000",IL0434140
Berwyn,Replacement of approximately 400 lead service lines.,,12/15/2026,"$                 7,000,000",IL0310210
Berwyn,Replacement of approximately 400 lead service lines.,,12/15/2026,"$                 7,000,000",IL0310210
Broadview Estates MHP,Replace galvanized water lines.,,3/2/2027,"$                     400,000",IL1190120
Canton,Phase 3: Replacement of approximately 350 lead service lines.,7949,10/15/2026,"$                 4,073,860",IL0570250
Carrollton,Phase 1-replacement of 145 lead service lines,7939,11/16/2026,"$                 2,028,000",IL0610050
Carrollton,Phase 2- replacement of 155 LSLs,7940,11/16/2027,"$                 2,169,000",IL0610050
Carrollton,Phase 3- replacement of 155 LSLs.,7941,11/16/2028,"$                 2,169,000",IL0610050
Carrollton,Phase 4- Replacement of 153 LSLs,7942,11/16/2029,"$                 2,147,000",IL0610050
Carrollton,Phase 5- Replacement of 153 LSLs,7943,11/16/2030,"$                 2,147,000",IL0610050
Centralia,Replacement of lead service lines.,,11/1/2027,"$                 3,000,000",IL1214220
Chicago Park District,Replacement of lead service lines.,,6/1/2027,"$                 5,000,000",NA
Cicero,Replacement of approximately 500-600 lead service lines.,8037,9/30/2026,"$                 7,000,000",IL0310510
Cicero,Replacement of approximately 400-450 lead service lines.,8038,9/30/2026,"$                 5,000,000",IL0310510
Cicero,Replacement of approximately 650 lead service lines.,8039,9/30/2026,"$                 8,000,000",IL0310510
Cicero,Replacement of approximately 650 lead service lines.,8036,9/30/2026,"$                 8,000,000",IL0310510
Clarendon Hills,Replacement of approximately 200 lead service lines.,7924,3/1/2027,"$                 3,640,000",IL0430250
Des Plaines,Replacement of approximately 300-400 lead service lines.,,8/31/2026,"$                 8,000,000",IL0310630
Forest Park,Phase 2 - Replacement of water main and lead service lines.,,3/1/2028,"$                 9,614,475",IL0310900
Forest Park,Phase 3 - Replacement of water mains and lead service lines.,,3/1/2029,"$                 4,169,100",IL0310900
Forest Park,Phase 4 - Replacement of water main and lead service lines.,,3/1/2030,"$                 4,475,250",IL0310900
Forest Park,Phase 5 - Replacement of water main and lead service lines.,,3/1/2031,"$                 8,749,650",IL0310900
Fulton,Phase 1: Replacement of approximately 140 lead service lines.,7944,11/2/2026,"$                 2,092,800",IL1950250
Fulton,Phase 2: Replacement of approximately 140 lead service lines.,7945,11/2/2027,"$                 2,092,800",IL1950250
Fulton,Phase 3: Replacement of approximately 140 lead service lines.,7946,11/2/2028,"$                 2,092,800",IL1950250
Fulton,Phase 4: Replacement of approximately 126 lead service lines.,7947,11/2/2029,"$                 1,884,200",IL1950250
Galena,Phase 2: Replacement of lead service lines.,7998,1/1/2027,"$                 2,291,200",IL0850200
Galena,Phase 3: Replacement of lead service lines.,7999,1/1/2027,"$                 2,180,000",IL0850200
Glen Ellyn,Replacement of 70 lead service lines.,8043,3/31/2027,"$                 1,583,000",IL0430450
Harristown,Replacement of approximately 490 lead service lines.,7801,3/1/2027,"$                 2,101,250",IL1150210
Harvey,Phase 3: Replacement of approximately 550-600 lead service lines.,6981,4/1/2027,"$                 8,000,000",IL0311110
Hillsboro,Phase 4: Replacement of approximately 195 lead service lines.,8060,1/4/2027,"$                 3,027,000",IL1350300
Hinsdale,Phase 1 Replace Lead Service Lines,7963,6/1/2027,"$                 2,171,000",IL0434520
Hinsdale,Phase 2 Replace Lead Service Lines,7964,3/1/2028,"$                 3,361,800",IL0434520
Hinsdale,Phase 3 Replace Lead Service Lines.,7965,3/1/2029,"$                 2,098,200",IL0434520
Illinois-American Water,Removal of approximately 512 lead service lines.,7826,11/16/2026,"$                 5,233,000",IL1195150
Leyden Township,Replacement of approximately 208 lead service lines.,7229,2/1/2027,"$                 5,090,200",IL0315880
Macomb,Replacement of approximately 250 lead service lines.,,3/31/2028,"$                 4,651,000",IL1090350
Marshall,Phase 2 of lead service line replacement,6582,9/15/2027,"$                 4,000,000",IL0230100
Mendota,Replacement of approximately 145 lead service lines.,7914,11/1/2026,"$                 2,000,000",IL0990550
Milan,Phase 1: Replacement of approximately 160 lead service lines.,8000,7/1/2026,"$                 2,390,700",IL1610400
North Riverside,Replacement of lead service lines.,,10/1/2026,"$                 4,000,000",IL0312160
Park Ridge,Replace Lead Service Lines - Phase 2,,3/1/2027,"$                 5,850,000",IL0312460
Park Ridge,Replace Lead Service Lines - Phase 1,,3/1/2027,"$                 1,436,500",IL0312460
Quincy,Replace 470 Lead Service Lines.,,4/3/2028,"$                 4,400,000",IL0010650
Quincy,Replace 470 Lead Service Lines.,,10/4/2027,"$                 4,250,000",IL0010650
Quincy,Replace 470 Lead Service Lines.,,4/2/2029,"$                 4,550,000",IL0010650
Quincy,Replace 470 Lead Service Lines.,,4/1/2030,"$                 4,700,000",IL0010650
Quincy,Replace 470 Lead Service Lines.,,4/7/2031,"$                 4,850,000",IL0010650
River Forest,Replace 500 Lead Service Lines.,8061,6/1/2028,"$                 4,000,000",IL0312610
River Forest,Replace 500 Lead Service Lines.,8062,6/1/2029,"$                 4,000,000",IL0312610
Silvis,Replace 480 Lead Service Lines.,,9/1/2026,"$                 6,516,140",IL1610700
