Loan Applicant,Project Description,L17#,"EstimatedConstructionStart Date","Projected LoanAmount",Facility No.
Bloomington,Replace 600 Lead Service Lines,7502,3/1/2028,"$              10,000,000",IL1130200
Bloomington,Replace 600 Lead Service Lines,7503,3/1/2029,"$              10,000,000",IL1130200
Burnham,Replacement of approximately 450 lead service lines.,7877,6/15/2027,"$                 6,000,000",IL0310360
Elmwood Park,Phase 4: Replacement of lead service lines.,7583,3/1/2028,"$                 3,500,000",IL0310780
Elmwood Park,Phase 5: Replacement of lead service lines.,7584,3/1/2029,"$                 4,000,000",IL0310780
Evanston,Phase 4: Replacement of approximately 500 lead service lines.,6323,3/28/2028,"$                 5,000,000",IL0310810
Evanston,Phase 5: Replacement of approximately 500 lead service lines.,6324,3/27/2029,"$                 5,000,000",IL0310810
Forest Park,Phase 5: Replacement of lead service lines.,7608,5/1/2027,"$                 4,000,000",IL0310900
Harvard,Phase 3 Replace Lead Service Lines,7985,4/1/2028,"$                 3,640,000",IL1110250
Harvard,Phase 4 Replace Lead Service Lines.,7986,4/1/2029,"$                 3,640,000",IL1110250
Jacksonville,Phase 3: Removal of approximately 373 lead service lines.,7168,8/16/2027,"$                 5,477,000",IL1370200
Jacksonville,Phase 4: Removal of approximately 387 lead service lines.,7169,8/15/2028,"$                 5,663,000",IL1370200
Jacksonville,Phase 5: Removal of approximately 388 lead service lines.,7170,8/15/2029,"$                 5,676,000",IL1370200
Joliet,Replacement of approximately 341 lead service lines.,6084,2/29/2028,"$                 3,880,000",IL1970450
Joliet,Replacement of approximately 546 lead service lines.,6085,2/28/2029,"$                 6,180,000",IL1970450
LaGrange Park,Removal of 180 lead service lines.,7641,2/15/2028,"$                 3,478,400",IL0311560
LaGrange Park,Removal of approximately 180 lead service lines.,7642,2/15/2029,"$                 3,478,400",IL0311560
LaGrange Park,Removal of approximately 180 lead service lines.,7643,2/15/2030,"$                 3,478,400",IL0311560
LaGrange Park,Removal of approximately 135 lead service lines.,7644,2/15/2031,"$                 3,195,200",IL0311560
Markham,Phase 3: Replacement of approximately 250 lead service lines.,6349,3/30/2028,"$                 1,436,400",IL0311770
Markham,Phase 4: Replacement of approximately 236 lead service lines.,6350,3/30/2029,"$                 1,456,403",IL0311770
Markham,Phase 5: Replacement of approximately 128 lead service lines.,6351,3/30/2030,"$                     850,000",IL0311770
Markham,Phase 6: Replacement of approximately 87 lead service lines.,6352,3/30/2031,"$                     650,000",IL0311770
Mount Olive,Phae 2: Replacement of approximately 168 lead service lines.,7323,11/1/2028,"$                 2,000,000",IL1170700
Oak Lawn,Replace 417 Lead Service Lines.,3939,5/24/2027,"$                 4,373,460",IL0312220
Oak Lawn,Replace 417 Lead Service Lines.,3940,5/22/2028,"$                 4,373,460",IL0312220
Oak Lawn,Replace 417 Lead Service Lines,3941,5/21/2029,"$                 4,373,460",IL0312220
Oak Lawn,Replace 417 Lead Service Lines.,3942,5/22/2030,"$                 6,506,158",IL0312220
Pana,Phase 3: Replacement of approximately 391 lead service lines.,7049,8/30/2027,"$                 3,776,000",IL0210500
Pana,Phase 4: Replacement of approximately 405 lead service lines.,7050,8/30/2028,"$                 3,941,000",IL0210500
Peoria Heights,Replace 373 Lead Service Lines.,6335,1/4/2028,"$                 6,000,000",IL1434750
River Forest,Replace 500 Lead Service Lines,6284,8/3/2027,"$                 4,000,000",IL0312610
Riverside,Replacement of lead service lines.,7589,3/1/2028,"$                 4,000,000",IL0318670
Skokie,Phase 4: Replacement of 1000 lead service lines.,7396,2/1/2028,"$              18,000,000",IL0312880
Skokie,Phase 5: Replacement of 1000 lead service lines.,7397,2/1/2029,"$              18,000,000",IL0312880
Skokie,Phase 6: Replacement of 1000 lead service lines.,7519,2/1/2030,"$              18,000,000",IL0312880
Skokie,Phase 7: Replace 1000 lead service lines.,7520,2/1/2031,"$              18,000,000",IL0312880
West Dundee,Replace 25 Lead Service Lines.,6564,3/15/2028,"$                     750,000",IL0890950
Western Springs,Phase 3: Replacement of approximately 45 lead service lines.,7897,8/3/2027,"$                 1,324,000",IL0313180
Westmont,Replace Lead Service Lines Liberty Park Subdivision West.,6959,9/1/2027,"$                 2,589,600",IL0430950
Wilmette,Phase 3: Replacement of approximately 220 lead service lines.,7310,3/15/2028,"$                 5,060,000",IL0313300
Wilmette,Phase 4: Replacement of approximately 220 lead service lines.,7311,3/15/2029,"$                 5,060,000",IL0313300
