"PPL
Rank","PPL
Score",Participant,MHI,"Population
Served","PWSID
No","SRF
Project No.",Project Description,"Lead Service Line
Replacement Cost","Emerging
Contaminants?","Disadvantaged
Community?","Green
Project
Reserve
Category","Current
User Rate
(per 4,000
gallons)","Estimated
Post-Project
User Rate
(per 4,000
gallons)","Requested
Funds","Cumulative
Requested
Funds","SFY 2026
Fundable Range
($70 Million)","Estimated Total
Project Cost",Cumulative Total
1,137,Jackson County Water Utility,"$83,228","13,667","5236003/
5236008",DW 25 05 36 00,"Source, Storage, Treatment, and Distribution System
Improvements",$0,"Yes - PFAS, Mn",No,N/A,$50.40,TBD,"$29,289,000","$29,289,000",,,
2,119,Evansville,"$52,251","173,000",5282002,DW 22 49 82 00,New Water Treatment Plant,$0,Yes - PFAS,Yes,"WE, EE",$33.74,$45.86,"$249,000,000","$278,289,000",,,
3,113,South Bend,"$52,512","115,000",2571014,DW 25 47 71 00,"Treatment Improvments (North WTP) + Lead Service
Line Replacement","$5,000,000",Yes- PFAS,Yes,EE,$17.99,$17.99,"$20,428,000","$298,717,000",,,
4,111,Goshen,"$55,436","32,267",5220009,DW 25 50 20 00,"New Source and Treatment, and Distribution
Improvements",$0,Yes- PFAS,Yes,"GI, WE, EE, EI,
CR",$29.87,$50.82,"$68,000,000","$366,717,000",,,
5,109,Huntington / Andrews,"$47,000","1,049",5235001,DW 16 09 35 00,"Regionalization with Andrews, Distribution Improvements
+ Lead Service Line Replacements","$1,669,000",No,Yes,N/A,$37.95,TBD,"$28,454,000","$395,171,000",,,
6,108,Huntington,"$55,943","17,022",5235001,DW 24 40 35 00,Source Improvements and New Water Treatment Plant,$0,No,Yes,"WE, EE",$40.40,TBD,"$36,601,000","$431,772,000",,,
7,97,Indiana American Water - Terre Haute,"$41,960","61,378",5284012,DW 24 51 84 00,Treatment Improvements,$0,Yes - PFAS,Yes,N/A,$54.60,$54.60,"$50,000,000","$481,772,000",,,
8,97,Decatur,"$58,867","9,900",5201002,DW 25 29 01 00,"Distribution Improvements + Lead Service Line
Replacement","$9,584,000",No,No,WE,$59.30,TBD,"$20,899,000","$502,671,000",,,
9,96,Indiana American Water - Wabash Mullins,"$54,199","11,223",5285003,DW 24 52 85 00,Treatment Improvements,$0,Yes - PFAS,Yes,N/A,$54.60,$54.60,"$12,000,000","$514,671,000",,,
10,91,Glenwood,"$47,167",313,5270002,DW 23 30 70 00,"Regionalization with Connersville and Distribution
Improvements",$0,Yes - Mn,Yes,"WE, EE",$68.27,$764.41,"$9,700,000","$524,371,000",,,
11,88,Tell City,"$52,924","9,315",5262004,DW 25 45 62 00,"Treatment and Distribution Improvements + Lead Service
Line Replacement","$2,386,500",No,Yes,EE,$35.86,$35.86,"$4,215,000","$528,586,000",,,
12,86,Odon,"$44,632","1,379",5214005,DW 22 37 14 00,"Treatment, Storage, and Supply Improvements",$0,Yes - Mn,Yes,EE,$36.24,$70.71,"$4,764,000","$533,350,000",,,
13,86,North Manchester,"$63,438","5,277",5285009,DW 24 19 85 00,"Distribution System Improvements + Lead Service Line
Replacement",TBD,No,No,N/A,$31.84,$52.48,"$13,325,000","$546,675,000",,,
14,85,Converse,"$54,167","1,265",5252006,DW 24 15 52 00,"New Water Treatment Plant and Distribution System
Improvements",$0,Yes - Mn,Yes,N/A,$60.00,$98.33,"$4,175,000","$550,850,000",,,
15,83,Kingman,"$55,750",510,5223004,DW 23 38 23 00,"Treatment, Storage, and Distribution Improvements",$0,Yes - Mn,Yes,N/A,$42.79,$124.19,"$3,636,000","$554,486,000",,,
16,83,Bluffton,"$62,226","10,298",5290001,DW 25 24 90 00,Storage Improvements + Lead Service Line Replacement,"$28,000,000",No,No,N/A,$43.96,$72.80,"$35,400,000","$589,886,000",,,
