Project,Project Title,DC,"Zip
Code","Priority
Points","Loan Funds
Requested"
04700071 - Town of Byhalia,Emergency Project to address TCE Contamination,Y,38611,0,"$1,862,394.00"
0500008 - CITY OF PHILADELPHIA,Water Treatment Plant Improvements,Y,39350,1872,"$2,000,000.00"
0520008 - TOWN OF SHUQUALAK,Water System Expansion - Phase 2,Y,39361,54,"$1,162,423.00"
0750004 - FISHER FERRY WATER DISTRICT,"Clearwell Construction, High Service Pumps, and Existing Clearwell Renovations",N,39180,1887,"$1,240,620.00"
0460001 - BUNKER HILL WATER ASSOCIATION,Water System Improvements - 2026,Y,39429,729,"$1,966,700.00"
0570014 - SUNNYHILL WATER ASSOCIATION,Water System Improvements - 2026,Y,39649,640,"$2,495,400.00"
0060016 - CITY OF ROSEDALE,Rosedale Water System Improvement Project,Y,38769,817,"$1,009,983.00"
0640012 - POPLAR SPRINGS WATER DISTRICT,Poplar Springs Water District Well,N,39114,199,"$2,532,000.00"
0540013 - MT OLIVET WATER ASSOCIATION,Water System Improvements for Mt. Olivet Water Association,Y,38606,110,"$4,002,513.00"
0490006 - NORTH DISTRICT 1 WATER ASSN.,Water System Improvements for North District One Water Association,N,38967,84,"$3,780,014.00"
0650011 - TOWN OF TAYLORSVILLE,FY2026 Water System Improvements,Y,39168,543,"$2,000,000.00"
0250021 - REEDTOWN WATER ASSN,SRF Elevated Storage Tank,Y,39175,502,"$3,072,500.00"
0180012 - RAWLS SPRINGS UTILITY DISTRICT,Rawls Springs Utility District - FY26 DWSIRLF,Y,39402,720,"$2,000,000.00"
0210004 - NEELY UTILITIES,Neely Utilities - FY26 DWSIRLF,Y,39461,95,"$2,000,000.00"
0510006 - TOWN OF HICKORY,New Well/ Elevated Tank/ Pipe Extension,N,39332,289,"$4,283,958.00"
0340006 - HATTEN WATER ASSN,New Water Well,N,39168,212,"$2,896,343.00"
0180008 - CITY OF HATTIESBURG,"Rehabilitation of Water Plant No. 1, Phase 3",Y,39403,4091,"$5,573,133.00"
0610017 - CITY OF PEARL,Water System Improvements,Y,39208,3720,"$5,000,000.00"
0750011 - YOKENA-JEFF DAVIS WATER DISTRICT,SRF Distribution Improvements,N,39180,893,"$1,260,000.00"
0430001 - BOGUE CHITTO WATER ASSOCIATION,Elevated Tank Rehabilitation & Linework,N,39629,822,"$1,230,000.00"
0030024 - NORTHEAST AMITE WATER ASSN,"100,000 Gallon Elevated Tank",N,39666,772,"$1,000,000.00"
0640006 - CITY OF MAGEE,City of Magee - FY26 DWSIRLF,Y,39111,440,"$4,000,000.00"
0060012 - TOWN OF MERIGOLD,2026 Water System Improvement Project,Y,38759,384,"$1,008,140.00"
0610008 - FANNIN WATER ASSN-NORTH,Water System Improvements,N,39047,358,"$4,610,934.00"
0190006 - SIXTOWN WATER ASSOCIATION,"100,000 Gallon Elevated Tank",Y,39653,354,"$1,000,000.00"
0820028 - MIDWAY W/A #3,New Treatment Plant,Y,39039,281,"$2,700,000.00"
0060002 - TOWN OF BENOIT,2026 Water System Improvement Project,Y,38725,279,"$1,000,000.00"
0590009 - TOWN OF JUMPERTOWN,Water System Improvements,Y,38829,257,"$2,458,600.00"
0060006 - CITY OF CLEVELAND,2026 Water System Improvement Project,Y,38732,221,"$2,016,906.00"
0610021 - TOWN OF PUCKETT,New Water Well,N,39151,202,"$1,950,000.00"
0340021 - CITY OF LAUREL,Water System Improvements,Y,39441,14,"$8,290,000.00"
