Project,Project Name,"Zip
Code","Priority
Points",Loan Funds
0490006 - NORTH DISTRICT 1 WATER ASSN.,Water System Improvements,38967,84,"$3,780,014.00"
0730006 - CITY OF NEW ALBANY,Water System Distribution Improvements,38652,1406,"$1,600,000.00"
0220002 - G T & Y WATER DISTRICT INC,Distribution Improvements for GT&Y Utility District,38901,376,"$4,302,456.00"
0690006 - STRAYHORN W/A-CROCKETT,Water System Improvements for Strayhorn,38668,271,"$5,000,000.00"
0100008 - SIMPSON WATER ASSOCIATION #1,Water System Improvements,39772,210,"$3,090,000.00"
0340019 - SOUTHWEST JONES W/A-NORTH,Waterline Improvements Project,39459,2725,"$1,200,000.00"
0230065 - HANCOCK COUNTY WATER & SEWER,Bayside Water System Improvements,39556,1778,"$2,714,625.00"
0240272 - HARRISON COUNTY UTILITY AUTHORITY-EAST,Lorraine Road Water Main Extension,39503,683,"$823,800.00"
0230071 - HANCOCK COUNTY WATER & SEWER- BAYSIDE,Bayside Water System Improvements,39556,93,"$4,986,117.00"
0240277 - WEST HARRISON WATER & SEWER DISTRICT,Phase 3 Water Improvements - Edwin Ladner Rd,39571,44,"$3,368,737.00"
0090010 - SPARTA WATER ASSOCIATION #1,Waterlines & Water Tank Foundation Upgrades,39776,37,"$2,000,000.00"
610003 - CITY OF BRANDON,BRANDON INDUSTRIAL PARK WATER WELL,39042,29276,"$737,800.00"
0780005 - CITY OF EUPORA,Water Supply and Storage Improvements,39744,593,"$4,442,000.00"
0540011 - INDEPENDENCE WATER ASSOCIATION,500 GPM Well,38606,429,"$2,010,000.00"
0540013 - MT OLIVET WATER ASSOCIATION,Water System Improvements for Mt. Olivet,38606,110,"$4,002,513.00"
0140002 - CLARKSDALE PUBLIC UTILITIES,SRF Water System Improvements,38614,4755,"$3,106,245.00"
0130008 - CITY OF WEST POINT,City of West Point Rehab,39773,4345,"$4,160,000.00"
00330005 - LILY ROSE W/A #1,Systemwide AMR Installation,39474,2055,"$683,750.00"
0230001 - CITY OF BAY ST LOUIS,Elevated Water Storage Tank,39520,1437,"$3,016,250.00"
0180011 - CITY OF PETAL,New Well and Elevated Tank,39465,1210,"$4,191,000.00"
0420010 - EAST LEFLORE WATER & SEWER DST,Water System Improvements,38930,1048,"$3,010,963.00"
0450006 - CANTON MUN UTL,CMU Water Treatment Plant Replacement and Modernization Project,39046,943,"$10,000,000.00"
0230001 - CITY OF BAY ST LOUIS,Waterline Improvements,39520,798,"$5,429,250.00"
0220008 - POOR HOUSE W/A #1,Poorhouse Supply & Storage Imp,38901,719,"$2,662,350.00"
0550006 - CITY OF POPLARVILLE,Water Improvements,39470,635,"$2,458,400.00"
0180011 - CITY OF PETAL,Waterline Replacement,39465,470,"$4,191,000.00"
0720024 - TUNICA COUNTY UTILITY DISTRICT,,38676,412,"$5,773,890.00"
0260012 - TOWN OF PICKENS,Water System Improvements,39146,234,"$2,572,535.00"
0240270 - HCUA-WEST,North South Loop Water Main,39503,57,"$4,409,000.00"
