epic_id,Entity,Project,Estimated Loan Amount,Principal Forgiveness,Estimated Award Date,Project Score,Readiness to Proceed,Rate,County,District Office
7,Addyston,Sekitan Avenue Water Main and LSL Replacement,1327083,,Jun-27,2,3,DIS 0%/LSL,Hamilton,SWDO
6,Addyston,"Distribution, LSL, and Transmission Main Replacement",10728381,,Jun-27,2,2,DIS 0%/LSL,Hamilton,SWDO
9,Adena,Blairmont Road Water Line,907780,453890,Dec-26,2,4,DIS 0%,Jefferson,SEDO
19,Akron,PWS Regionalization 2026,1627332,813666,Jan-27,20,4,DIS 1%-REG,Summit,NEDO
30,Amanda,WTP Iron Filter Improvements,359400,179700,Mar-27,3,4,DIS 0%,Fairfield,CO
32,Amesville,Water Distribution Improvements,3000000,,Jun-27,2,2,SML,Athens,SEDO
33,Antwerp,Water Treatment Plant Improvements,8444000,4000000,Oct-26,10,5,DIS 0%,Paulding,NWDO
41,Arcanum,Water Tower Replacement,2796500,,May-27,4,0,DIS 0%,Darke,SWDO
45,Ashtabula County,Northeast Regional Water Line Extension,21000000,,Jan-27,7,2,DIS 1%-REG,Ashtabula,NEDO
47,Baltimore,Water Line Improvements,5497000,,Jan-27,3,2,DIS 1%,Fairfield,CO
52,Barnesville,North Water Line Extension,7502075,3751038,Aug-26,6,5,DIS 1%-REG,Belmont,SEDO
56,Beach City,2nd Avenue Southeast Water Line Replacement,524719,,May-27,2,0,DIS 0%,Stark,NEDO
59,Beach City,Justus/Dolphin Water Line Replacement,1368820,,May-27,2,0,DIS 0%,Stark,NEDO
60,Bellaire,West Water Tank Rehab,1733000,,Oct-26,4,3,DIS 1%,Belmont,SEDO
62,Belle Center,W. Buckeye Street & Elizabeth Street Water Line Replacement,442255,,Oct-26,3,3,SML,Logan,SWDO
66,Belpre,Braun Street Water Main Extension,1799938,,Mar-27,6,1,DIS 1%-REG,Washington,SEDO
73,Beverly,Water Storage Tank Replacement,1227200,613600,Aug-26,2,5,DIS 0%,Washington,SEDO
79,Bloomville,Water Tower and Water Line Replacement,2099700,,Mar-27,7,0,DIS 0%,Seneca,NWDO
