epic_id,Entity,Project,PWS ID,Project Type
122,Chesterhill,Water System Improvements PFAS,OH5800112,Design
250,Gallia County,GAC for PFAS Removal,OH2700012,Construction
286,Indian Hill,Water Treatment Plant PFAS,OH3101112,Design
292,Ironton,PFAS Design,OH4400711,Design
SDC-XXX,Little Hocking W&S Assoc.,,OH8400212,Construction
360,Martins Ferry,PFAS WTP Improvements,OH0701212,Design
446,Putnam Community Water Corp.,PFAS Well Mitigation,OH8400712,Construction
444,Putnam Community Water Corp.,Muskingum River Road Water Line Extension,OH8400712,Design/Construction
445,Putnam Community Water Corp.,Muskingum River Road Water Line Extension,OH8400712,Design/Construction
463,Shadyside,PFAS Remediation,OH0701612,Design
474,South Point,Water Treatment Plant PFAS Upgrades,OH4401212,Construction
509,Warren Community,PFAS Remediation Pilot Testing and Detailed Design,OH8402703,Design
