epic_id,Entity,Project,PWS ID, Estimated Loan Amount,"Est. LSL Related
Costs",Loan Type,Estimated Award Date,Rate,County , District Office
17,Akron,Lead Service Line Replacement Program 2026,OH7700011,5700000,5700000,Construction,Jul-26,LSL PF,Summit,NEDO
18,Akron,Lead Service line Replacement Program 2027,OH7700011,9600000,9600000,Construction,Dec-26,LSL PF,Summit,NEDO
36,Aqua Ohio Inc.,Ashtabula Lead & GRR Service Line Replacement 2026,OH0400711,7000000,7000000,Construction,Jul-26,LSL PF,Ashtabula,NEDO
37,Aqua Ohio Inc.,Marion Lead Service Line Replacement 2026,OH5100414,7000000,7000000,Construction,Jul-26,LSL PF,Marion,NWDO
38,Aqua Ohio Inc.,Struthers Lead and GRR Service Line Replacement 2026,OH5001611,7000000,7000000,Construction,Jul-26,LSL PF,Mahoning,NEDO
39,Aqua Ohio Inc.,Tiffin Lead Service Line Replacement 2026,OH7400614,7000000,7000000,Construction,Jul-26,LSL PF,Seneca,NWDO
88,Bradford,Lead Service Line Replacement,OH1900212,800000,800000,Construction,Apr-27,LSL PF,Miami,SWDO
102,Cambridge,Lead Service Line Replacement Phase 3,OH3000111,1005600,1005600,Construction,Apr-27,LSL PF,Guernsey,SEDO
108,Canton,GRR Service Line Replacement Project,OH7608112,17943750,17943750,Construction,Oct-26,LSL PF,Stark,NEDO
124,Cincinnati,Alms - Chapel Water Main Replacement,OH3102612,4051413,250000,Construction,Jan-27,STD/LSL PF,Hamilton,SWDO
125,Cincinnati,Bader - Henshaw Water Main Replacement,OH3102612,5435460,615000,Construction,Apr-27,STD/LSL PF,Hamilton,SWDO
126,Cincinnati,Blaesi - Camargo Water Main Replacement,OH3102612,4119107,390000,Construction,Jan-27,STD/LSL PF,Hamilton,SWDO
128,Cincinnati,Burch - Shaw Area Water Main Replacement,OH3102612,4821149,875000,Construction,Dec-26,STD/LSL PF,Hamilton,SWDO
129,Cincinnati,Concord - Morgan Water Main Replacement,OH3102612,2643591,355000,Construction,Jan-27,STD/LSL PF,Hamilton,SWDO
130,Cincinnati,Fire Flow 23 Water Main Replacement,OH3102612,4259225,685000,Construction,Jan-27,STD/LSL PF,Hamilton,SWDO
131,Cincinnati,Handasyde - Perkins Water Main Replacement,OH3102612,4660689,590000,Construction,Oct-26,STD/LSL PF,Hamilton,SWDO
132,Cincinnati,McHenry - Wooster Area Water Main Replacement,OH3102612,4684603,535000,Construction,Dec-26,STD/LSL PF,Hamilton,SWDO
133,Cincinnati,Mt Hope/Warsaw Water Main and LSL Replacement,OH3102612,3982453,730000,Construction,Dec-26,STD/LSL PF,Hamilton,SWDO
134,Cincinnati,Observatory Water Main Replacement - Oakley Abandonment,OH3102612,3731017,114000,Construction,Sep-26,STD/LSL PF,Hamilton,SWDO
135,Cincinnati,Plum/Court Water Main and LSL Replacement,OH3102612,4761000,303000,Construction,Feb-27,STD/LSL PF,Hamilton,SWDO
136,Cincinnati,Vine St Water Meter Replacement,OH3102612,2439479,24000,Construction,Oct-26,STD/LSL PF,Hamilton,SWDO
137,Cincinnati,Voll - Martha Water Main Replacement,OH3102612,1255127,1500,Construction,Jul-26,STD/LSL PF,Hamilton,SWDO
138,Cincinnati,Western Hills Feeder Phase 2 Water Main Replacement,OH3102612,12000000,430000,Construction,Mar-27,STD/LSL PF,Hamilton,SWDO
139,Circleville,North End Water Line & Paving Capital Improvements - Phase 1,OH6500412,4433000,701000,Construction,Sep-26,STD/LSL PF,Pickaway,CO
140,Circleville,Utility Improvements for South Court Street,OH6500412,2634000,674000,Construction,Sep-26,STD/LSL PF,Pickaway,CO
146,Cleveland,CWD LSLR YEAR 5-1,OH1801212,12375000,12375000,Construction,Dec-26,LSL PF,Cuyahoga,NEDO
147,Cleveland,CWD LSLR YEAR 5-10,OH1801212,8250000,8250000,Construction,May-27,LSL PF,Cuyahoga,NEDO
148,Cleveland,CWD LSLR YEAR 5-11,OH1801212,8250000,8250000,Construction,May-27,LSL PF,Cuyahoga,NEDO
149,Cleveland,CWD LSLR YEAR 5-12,OH1801212,8250000,8250000,Construction,May-27,LSL PF,Cuyahoga,NEDO
150,Cleveland,CWD LSLR YEAR 5-13,OH1801212,1787500,1787500,Construction,Aug-26,LSL PF,Cuyahoga,NEDO
151,Cleveland,CWD LSLR YEAR 5-14,OH1801212,1787500,1787500,Construction,Apr-27,LSL PF,Cuyahoga,NEDO
152,Cleveland,CWD LSLR YEAR 5-15,OH1801212,4500000,4500000,Construction,May-27,LSL PF,Cuyahoga,NEDO
153,Cleveland,CWD LSLR YEAR 5-16,OH1801212,5056406,5056406,Construction,May-27,LSL PF,Cuyahoga,NEDO
154,Cleveland,CWD LSLR YEAR 5-17,OH1801212,3657000,3657000,Construction,May-27,LSL PF,Cuyahoga,NEDO
155,Cleveland,CWD LSLR YEAR 5-18,OH1801212,3231500,3231500,Construction,May-27,LSL PF,Cuyahoga,NEDO
156,Cleveland,CWD LSLR YEAR 5-19,OH1801212,1440000,1440000,Construction,May-27,LSL PF,Cuyahoga,NEDO
157,Cleveland,CWD LSLR YEAR 5-2,OH1801212,12375000,12375000,Construction,Dec-26,LSL PF,Cuyahoga,NEDO
158,Cleveland,CWD LSLR YEAR 5-20,OH1801212,4350000,4350000,Construction,May-27,LSL PF,Cuyahoga,NEDO
159,Cleveland,CWD LSLR YEAR 5-3,OH1801212,12375000,12375000,Construction,Dec-26,LSL PF,Cuyahoga,NEDO
160,Cleveland,CWD LSLR YEAR 5-4,OH1801212,8250000,8250000,Construction,Dec-26,LSL PF,Cuyahoga,NEDO
161,Cleveland,CWD LSLR YEAR 5-5,OH1801212,8250000,8250000,Construction,Dec-26,LSL PF,Cuyahoga,NEDO
162,Cleveland,CWD LSLR YEAR 5-6,OH1801212,8250000,8250000,Construction,Dec-26,LSL PF,Cuyahoga,NEDO
163,Cleveland,CWD LSLR YEAR 5-7,OH1801212,12375000,12375000,Construction,Apr-27,LSL PF,Cuyahoga,NEDO
164,Cleveland,CWD LSLR YEAR 5-8,OH1801212,12375000,12375000,Construction,Apr-27,LSL PF,Cuyahoga,NEDO
165,Cleveland,CWD LSLR YEAR 5-9,OH1801212,12375000,12375000,Construction,Apr-27,LSL PF,Cuyahoga,NEDO
182,Columbus,"Lead Service Line Replacements - Part 4, CIP 690236-110006",OH2504412,11100000,10000000,Construction,Oct-26,STD/LSL PF,Franklin,CO
183,Columbus,"Lead Service Line Replacements - Part 5, CIP 690236-110007",OH2504412,11100000,10000000,Construction,Oct-26,STD/LSL PF,Franklin,CO
184,Columbus,"Lead Service Line Replacements - Part 6, CIP 690236-110008",OH2504412,11100000,10000000,Construction,Dec-26,STD/LSL PF,Franklin,CO
185,Columbus,"Lead Service Line Replacements - Part 7, CIP 690236-110009",OH2504412,11100000,10000000,Construction,Feb-27,STD/LSL PF,Franklin,CO
186,Columbus,"Lead Service Line Replacements - Part 8, CIP 690236-110010",OH2504412,11100000,10000000,Construction,Apr-27,STD/LSL PF,Franklin,CO
187,Columbus,"Lead Service Line Replacements - Part 9, CIP 690236-110011",OH2504412,11100000,10000000,Construction,Jun-27,STD/LSL PF,Franklin,CO
206,Cuyahoga Falls*,Lead Line Service Replacement,OH7701012,2590487,2590487,Construction,Jul-26,LSL,Summit,NEDO
207,Cuyahoga Falls*,Lead Service Line Replacement Ph 2,OH7701012,3000000,3000000,Construction,Jun-27,LSL,Summit,NEDO
215,Dayton,Lead Service Line Replacement Ph 1,OH5703512,20000000,20000000,Construction,Apr-27,LSL PF,Montgomery,SWDO
227,Delphos,"LSL Replacement 2026: Jackson, Harmon, Moening & Grant St.",OH0200412,2142494,1063777,Construction,Aug-26,DIS 1%/LSL PF,Allen,NWDO
226,Delphos,First Street Water Line Replacement,OH0200412,778834,147400,Construction,Feb-27,DIS 1%/LSL PF,Allen,NWDO
