epic_id,Entity,Project,PWS ID,"SDWIS
Population",Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,County,District Office
1,Adams County Regional Water District,Ductile Iron Water Line Replacement,OH0100012,21810,1500000,Construction,Oct-26,STD,Adams,SEDO
2,Adams County Regional Water District,Pumpkin Ridge Tank Rehab,OH0100012,21810,650000,Construction,Aug-26,STD,Adams,SEDO
3,Adams County Regional Water District,Winchester Industrial Park Water System Improvements,OH0100012,21810,3690000,Construction,Oct-26,STD,Adams,SEDO
4,Adams County Regional Water District,WTP Filter Rehab,OH0100012,21810,1200000,Construction,Oct-26,STD,Adams,SEDO
5,Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,900,838190,Design,Sep-26,PLN/DES,Hamilton,SWDO
6,Addyston,"Distribution, LSL, and Transmission Main Replacement",OH3100012,900,10728381,Construction,Jun-27,DIS 0%/LSL,Hamilton,SWDO
7,Addyston,Sekitan Avenue Water Main and LSL Replacement,OH3100012,900,1327083,Construction,Jun-27,DIS 0%/LSL,Hamilton,SWDO
8,Adena,Blairmont Road Water Line,OH4100003,820,94530,Design,Sep-26,PLN/DES,Jefferson,SEDO
9,Adena,Blairmont Road Water Line,OH4100003,820,907780,Construction,Dec-26,DIS 0%,Jefferson,SEDO
10,Akron,Backwash Pumps Rebuild and MCC Replacement,OH7700011,280000,1850000,Construction,Mar-27,STD,Summit,NEDO
11,Akron,Backwash Pumps Rebuild and MCC Replacement Design,OH7700011,280000,188000,Design,Aug-26,PLN/DES,Summit,NEDO
12,Akron,Downtown Water Infrastructure Replacement Master Plan,OH7700011,280000,1000000,Planning,Dec-26,PLN/DES,Summit,NEDO
13,Akron,Emergency Water Main Connections,OH7700011,280000,1100000,Construction,Aug-26,STD,Summit,NEDO
14,Akron,Force Main Rehabilitation,OH7700011,280000,15000000,Construction,Aug-26,STD,Summit,NEDO
15,Akron,High Serv Pump Ball Valve & Limitorque Manual Valve Replace,OH7700011,280000,3195464,Construction,Aug-26,STD,Summit,NEDO
16,Akron,Kenmore Blvd - 28th Street Water Main Connection,OH7700011,280000,520000,Construction,Aug-26,STD,Summit,NEDO
17,Akron,Lead Service Line Replacement Program 2026,OH7700011,280000,5700000,Construction,Jul-26,LSL PF,Summit,NEDO
18,Akron,Lead Service line Replacement Program 2027,OH7700011,280000,9600000,Construction,Dec-26,LSL PF,Summit,NEDO
19,Akron,PWS Regionalization 2026,OH7700011,3738,1627332,Construction,Jan-27,DIS 1%-REG,Summit,NEDO
20,Akron,Raw Water Intake Valve Replacement & Repair ph 1,OH7700011,280000,397697,Construction,Sep-26,STD,Summit,NEDO
21,Akron,Water Main Replacement Program 2026,OH7700011,280000,3546369,Construction,Jul-26,STD,Summit,NEDO
22,Akron,Water Main Replacement Program 2027,OH7700011,280000,3788892,Construction,Jun-27,STD,Summit,NEDO
23,Akron,Water Plant Advanced Treatment Facility,OH7700011,280000,83000000,Construction,May-27,EC,Summit,NEDO
24,Akron,Water Plant Advanced Treatment Facility Design,OH7700011,280000,1558581,Design,Sep-26,EC,Summit,NEDO
25,Akron,Water Plant Water Main Upgrade,OH7700011,280000,319050,Construction,Sep-26,STD,Summit,NEDO
26,Akron,Water Storage Tank AMP Years 5-8,OH7700011,280000,7350000,Construction,Jul-26,STD,Summit,NEDO
27,Akron,Wheeling and Lake Erie RR Yard Water Main Repair,OH7700011,280000,600888,Construction,May-27,STD,Summit,NEDO
28,Albany,Water Tower Project,OH0500003,901,58388,Design,Aug-26,PLN/DES,Athens,SEDO
29,Albany,Water Tower Project,OH0500003,901,1268612,Construction,May-27,SML,Athens,SEDO
30,Amanda,WTP Iron Filter Improvements,OH2300012,757,359400,Construction,Mar-27,DIS 0%,Fairfield,CO
31,Amesville,Water Distribution Improvements,OH0500112,255,145500,Design,Sep-26,PLN/DES,Athens,SEDO
32,Amesville,Water Distribution Improvements,OH0500112,255,3000000,Construction,Jun-27,SML,Athens,SEDO
33,Antwerp,Water Treatment Plant Improvements,OH6300012,1741,8444000,Construction,Oct-26,DIS 0%,Paulding,NWDO
34,Aqua Ohio Inc.,Aqua Ohio - Massillon,OH7604512,95636,9000000,Construction,Aug-26,Reg/EC,Stark,NEDO
35,Aqua Ohio Inc.,Aqua Ohio - Massillon Tie into PCA Corp,OH7604512,95636,1000000,Construction,Aug-26,Reg/EC,Stark,NEDO
36,Aqua Ohio Inc.,Ashtabula Lead & GRR Service Line Replacement 2026,OH0400711,32408,7000000,Construction,Jul-26,LSL PF,Ashtabula,NEDO
37,Aqua Ohio Inc.,Marion Lead Service Line Replacement 2026,OH5100414,46317,7000000,Construction,Jul-26,LSL PF,Marion,NWDO
38,Aqua Ohio Inc.,Struthers Lead and GRR Service Line Replacement 2026,OH5001611,58551,7000000,Construction,Jul-26,LSL PF,Mahoning,NEDO
39,Aqua Ohio Inc.,Tiffin Lead Service Line Replacement 2026,OH7400614,20279,7000000,Construction,Jul-26,LSL PF,Seneca,NWDO
40,Arcanum,Water Tower Replacement,OH1900112,2100,142500,Design,Sep-26,PLN/DES,Darke,SWDO
41,Arcanum,Water Tower Replacement,OH1900112,2100,2796500,Construction,May-27,DIS 0%,Darke,SWDO
