Rank Order,Priority Points+,Application ID,ATPI,Pop. Served,PWSID#,Local Government,County,Project Description,"Total Project Amount
($)",Estimated Amount for Green Project Subsidy ($),"Estimated Amount for Disadvantaged Communities Principal Forgiveness
($)",Estimated Amount for Small Systems Principal Forgiveness ($),Anticipated Interest Rate (%),Expected Term (Years),Expected Loan Award Date (mm/yy),Proposed Construction Start,Proposed Construction Completion
1,85,"32701-2026-
106",0,12236,TN0000231,Erwin Utilities Authority*,Unicoi,New WTP/Well (Development of the Ambrose Well and the construction of a Water Treatment Plant to offset the potential loss of the Birchfield WTP.) Planning and Design,650000,$       -,$       -,$       -,1.02,5,Jul-26,Jul-27,Jul-29
2,85,2025-13697,0,12236,TN0000231,Erwin Utilities Authority*,Unicoi,"WTP Expansion (Expansion of the existing Elka WTP from 500 GPD to 1,000 GPD to include the construction of a new well and plant controls.)",2500000,$       -,1250000,$       -,1.47,30,Oct-26,Jul-26,Jul-28
3,85,2025-13695,0,12236,TN0000231,Erwin Utilities Authority*,Unicoi,"WTP Improvements (Development of needed improvements to the Birchfield WTP to recover the source water, resolve turbidity issues, and return the plant to operations.) Planning and Design",750000,$       -,$      -,$       -,1.02,5,Jul-26,NA,NA
4,85,2025-13672,20,9143,TN0000094,First Utility District of Carter County*,Carter,"GREEN -Waterline Replacement (Replacement of approximately 20,500 linear feet of 2inch thru 6-inch diameter waterlines and service lines along Hodge Branch Road, Pearl Bowers Road, Harrell Road, Dawn Drive, South Street, Carl Taylor Road, Wilson Pit/Blue Springs, Bill Nave Road, and Willow Springs Road.) Energy Efficiency",5000000,$       -,2000000,$       -,1.47,30,Oct-26,Aug-27,Oct-28
5,85,2025-13740,50,13908,TN0000242,Fayetteville*,Lincoln,"WTP improvements (Improvements to the raw water intake, flocculation and sedimentation process, filtration, and SCADA; and the addition of a clearwell, granular activated carbon contactors, chemical storage and feed systems; and electrical upgrades.) Construction",25000000,$       -,5000000,$       -,2.64,20,Sep-26,Jul-27,Dec-29
6,85,2025-13782,70,6464,TN0000037,Union Fork-Bakewell Utility District,Hamilton,"GREEN - Waterline Replacement (Installation of approximately 53,600 linear feet of 8-inch and 12-inch diameter ductile iron and high-density polyethylene waterlines and associated appurtenances; and the abandonment of approximately 26,800 linear feet of existing water main. )
Planning and Design",765000,$       -,$      -,$       -,2.54,5,Sep-26,NA,NA
7,85,2025-13589,70,6464,TN0000037,Union Fork-Bakewell Utility District,Hamilton,"GREEN - Distribution System Improvements (Installation of approximately 26,500 linear feet of 8-inch and 12-inch diameter ductile iron waterlines and 300 linear feet of 12-inch high-density polyethylene waterlines; and associated appurtenances.)
Water Efficiency",8932000,1786400,$      -,$       -,3.68,30,Sep-26,Jun-27,Dec-28
8,75,2025-13709,0,12236,TN0000231,Erwin Utilities Authority*,Unicoi,WTP Improvements (Conduct a pilot study to determine filter media and filtration system needed to remove Polyfluoroalkyl Substances (PFAS) from source water at the Howard C. Brown Water Treatment Plant.) Planning and Design,650000,$       -,$      -,$       -,1.02,5,Jul-26,NA,NA
9,65,2025-13576,0,8021,TN0000580,Ripley*,Lauderdale,"GREEN- Water Meter Replacement (Replacement of approximately 3,600 water meters throughout the distribution system.) Water Efficiency",1958000,$       -,979000,$       -,1.47,30,Jul-26,Dec-26,May-27
10,65,2026-13812,0,12236,TN0000231,Erwin Utilities Authority*,Unicoi,"Water Storage Tank Rehabilitation (Rehabilitation of the Martin Creek, McNabb, Obrien, and Murphy/Birchfield Water Storage Tanks.)",2200000,$       -,1100000,$       -,1.47,30,Jul-26,Oct-26,Jul-28
11,65,2025-13785,30,11412,TN0000590,Rockwood*,Roane,"WTP Expansion (Expanding the existing WTP from 4 MGD to 6 MGD to include the construction of settling and flocculation basins, a flash mix facility, a filter, storage, and electrical building; installation of new piping, valves, actuators, instrumentation and controls, and an electromagnetic flow meter; and the demolition of the old 2 MGD facility.)",11500000,$       -,4600000,$       -,2.21,30,Jul-26,Mar-27,Mar-29
12,65,"32701-2026-
37",40,9702,TN0000325,Jasper*,Marion,"GREEN- WTP Improvements (Improvements to include replacing existing filter beds with membrane technology, rehabilitation of baffles in the clear well, conversion of chlorine gas to sodium hypochlorite, installation of new pressure monitors, and updates to the operations building to remove Per- and Polyfluoroalkyl Substances (PFAS) and perfluorooctane sulfonic acid (PFOS) contaminants.) Environmentally Innovative",15000000,$       -,4500000,$       -,2.21,30,May-26,May-28,Nov-29
13,65,2026-13804,40,11434,TN0000756,Woodbury*,Cannon,"WTP Improvements (Construction of new parallel treatment equipment; replacement of tube settlers, sludge collection and flocculation equipment; update the SCADA system; and well pump house upgrades.)",7089000,$       -,2126700,$       -,2.21,30,Jul-26,Nov-26,Nov-29
14,65,"32701-2026-
105",50,13318,TN0000056,Bloomingdale Utility District*,Sullivan,"Distribution System Improvements (Rehabilitation of the pump station along John B Dennis Road; and the replacement of approximately 13,300 linear feet of 6-inch polyvinyl chloride waterlines along Morelock Street and Old Beason Well Road.)",2000000,$       -,600000,$       -,2.94,30,Mar-26,Dec-26,Dec-27
