Rank,Points,PIF #,Entity,PWS ID,Population,Project Description,"Eligible
Phase(s)",Project Cost,"Disadv
%","Green
Type",GPR,"Related
PIF #'s"
1,476,17882,South Plains WSC,TX1520152,4503,"This project evaluates and advances the regionalization of public water systems throughout Lubbock County through strategic interconnections, shared infrastructure, and coordinated system management. The goal is to enhance long-term water supply reliability, improve operational efficiency, and strengthen financial sustainability for participating utilities.
Regionalization would allow smaller municipal systems and water supply corporations to benefit from shared treatment capacity, bulk water purchasing, consolidated administrative functions, and regional emergency response planning. By interconnecting systems, participating utilities can reduce redundancy, improve redundancy during drought or equipment failure, and ensure compliance with state and federal regulatory standards. The project also supports improved asset management planning. Regional collaboration enhances drought resilience, strengthens infrastructure redundancy, and promotes sustainable groundwater management within the
county.",PA,1800000,,,,
2,221,17355,Millersview-Doole WSC,TX0480015,4000,"Water line replacements, pump station improvements, SCADA system improvements, WTP improvements, AMR/AMI Meter replacement, distribution system improvements, tank rehabilitations, emergency
generators and development of an asset management plant",PADC,67675000,,Yes-BC,2000000,
3,166,17252,Bitter Creek WSC,TX1770007,2874,"The project includes the construction of new wells, replacement and upsizin
of water distribution lines, construction of new water storage facilities, and development of an asset management plan",PADC,11917000,,,,
4,152,17399,Seagraves,TX0830001,2691,"The City of Seagraves proposes development of a new well field northwest of town to increase water supply capacity and improve regulatory compliance. The project includes conversion of four existing irrigation wells to public water supply use, installation of intruder-resistant fencing, construction of a reverse osmosis (RO) treatment system to address nitrate exceedances, installation of supply lines connecting to the existing elevated storage tank, and construction of RO concentrate waste ponds.",PDC,4750000,0.7,,,
5,152,17315,Midland Co UD,,100,"Midland County Utility District (MCUD) is a utility district formed to deliver water to residents and commercial/industrial customers outside the city limits of Midland, Texas. The district includes a service area of 84.5 square miles located generally east and south of the city.
A superfund chromium plume site named WCR 112 Chromium Plume exists within the district and is under EPA/TCEQ monitoring and treatment efforts. The EPA and TCEQ are interested in working with MCUD to provide
a potable water alternative for the customers present.",PD,2515678,,,,
6,147,17347,Marlin,TX0730002,5967,Marlin Water System Improvements Phase II,PDC,15197561,0.7,,,
7,144,17445,Red River Authority,TX2440007,156,"Project will make improvements in the RRA Farmers Valley System
including new tank, distribution lines, and pump station upgrade",PDC,920000,0.7,,,
8,129,17831,Chester WSC,TX2290002,1237,"Rehabilitation of all water plants, storage tanks, and waterlines in the
system.",PDC,29110000,,,,
9,117,17365,"Riverbend Water
Resources District",TX0190021,66694,"Intake Structure, Raw Water Pump Station, Raw Water Transmission Line,
Water Treatment Plant and Finish Water Line",PADC,497525990,0.7,Yes-BC,26167930,
10,114,17413,Westwood Shores MUD,TX2280016,1561,"Westwood Shores MUD proposes construction of a riser pipe connection to the existing Ground Storage Tank (GST), associated yard piping, and a control and meter building to accommodate a future water supply source. The future supply may include a connection to the Trinity River Authority (TRA) / City of Trinity system, development of a third groundwater well, or
another supply source to be determined",PADC,2566390,0.7,Yes-CE,2566390,
11,109,17666,Santa Rosa,TX0310009,2883,"The City of Santa Rosa owns and operates two adjacent 0.5-MGD water treatment facilities that have experienced deterioration due to age and limited rehabilitation since their original construction. Several treatment components are outdated or in poor condition, impacting the reliability and performance of the system. This project will provide critical upgrades and rehabilitation to the treatment facilities to improve operational reliability, enhance system resiliency, and ensure the continued delivery of safe
drinking water to the residents of Santa Rosa",PDC,14160000,0.7,,,
12,107,17303,Quanah,TX0990002,2262,"The City of Quanah aims to enhance its water system by improving its existing distribution lines and installing two new disinfecting boosting station The distribution lines are aging, dilapidated, and need to be replaced. An asset management plan and water conservation plan is included.",PDC,19054000,0.7,Yes-BC,9947000,
13,102,17830,Childress,TX0380001,6606,"Procuring vital water infrastructure to ensure community resilience in the
face of the catastrophic ongoing drought",PDC,16739700,0.7,,,
16,99,17421,"Texas Water Utilities, L.P.",TX1410002,3738,"The applicant proposes to install an additional membrane filtration train and support components to the existing Lometa WTP to improve compliance and production reliability. The project will also include the development of an
asset management plan.",PDC,15645000,0.7,Yes-BC,15645000,
17,99,17634,Overton,TX2010002,3023,"The City of Overton needs to construction a new water well and plant in order to meet the existing demand and provide for future demand. The city plans to construct a new water well complete with a stand-alone water plant, including ground storage tank, disinfection system, and high service pumps in order to meet system demand and maintain the existing infrastructure.
The existing water system has deteriorated over time and results in
excessive maintenance and water loss",PDC,1981440,0.7,,,
18,97,17393,Jackson WSC,TX2120016,6454,"Funding for JWSC pipe replacement, ground storage tank and new well & one new plant project. JWSC has been cited by TCEQ for violations for lack of: “well capacity”, “service pump capacity”, “pressure tank capacity” and/or
“elevated storage capacity”.",PDC,22841500,0.7,Yes-CE,15259000,
19,97,17268,Diboll,TX0030001,5207,"This project will include upgrades of deteriorating AC waterlines throughout the City as well as the rehabilitation of 3 wells to provide adequate supply. The development and implementation of an Asset Management Plan will
also be included in this project",PDC,11910000,0.7,,,
20,96,17869,La Grulla,TX2140006,12489,"The project will replace distribution lines in undersized areas and expand service to areas not currently served and implement an asset management plan. The project will also rehabilitate the storage tanks and the booster
pumping stations",PDC,19125000,0.7,Yes-BC,3000000,
21,96,17575,"Texas Water Utilities, L.P.",TX0910035,1860,"The Ridgecrest Water System proposes increasing water production capacity through the drilling of a new raw water well. Additionally, there is concern for radionuclide buildup in drinking water produced by the applicant, as high radionuclide concentrations pose a major health risk if ingested through drinking water over long periods of time. An asset management plan included in this project will support project radionuclide monitoring and
management efforts.",PADC,22111000,0.7,Yes-BC,22111000,
22,95,17281,Coke County WSC,TX0410017,410,Coke County WSC seeks to replace the entirety of their water line system. The existing lines are deteriorating and need to be replaced. They also seek to rehabilitate one of the two pump stations. The development of an Asset Management Plan will also be included as part of the proposed project.,PDC,39738000,0.7,Yes-BC,39738000,
23,88,17808,Mathis,TX2050003,4322,"To address existing water demand challenges and improve resiliency of the water supply for the City of Mathis, a project to construct a new well and its relevant appurtances to meet current and future water demands is
proposed.",PADC,1815000,0.7,,,
24,86,17352,Mercedes,TX1080007,16648,"Water system improvements include but are not limited to waterline
replacements, pump station improvements, asset management plans, and purchase of additional water rights",PADC,59768000,0.7,,,
25,79,17592,Carthage,TX1830001,15000,"This project consists of the comprehensive rehabilitation and modernization of the community’s water treatment plant to ensure continued delivery of
safe, reliable drinking water",PDC,13455600,0.7,,,
26,78,17473,Groveton,TX2280001,918,Water System Upgrades and Water Distribution Line Replacement,PDC,4440000,0.7,,,
27,77,17692,Stryker Lake WSC,TX0370033,978,Water System Improvements,PDC,1000000,0.7,Yes-BC,590000,
28,76,17612,Port Mansfield PUD,TX2450004,319,"This project modernizes the community’s water infrastructure through the installation of a 250,000-300,000-gallon elevated storage tank, smart meters, and comprehensive pump room and pipe rehabilitations. Central to these upgrades is the implementation of a formal Asset Management Plan through the TWDB contract, ensuring that these new investments are systematically maintained, tracked, and funded for their entire service life.",PDC,4645000,0.7,,,
