,PIF #,Entity,Project Cost,Reason for Ineligibility
1,17456,Alleyton,4203000,AMHI
2,17240,Alpine,7230000,AMHI
3,17241,Alpine,3678000,AMHI
4,17242,Alpine,257000,AMHI
5,17243,Alpine,6441000,AMHI
6,17607,Ames-Minglewood WSC,7700000,AMHI
7,17244,Amherst,2000000,AMHI
8,17250,Bartlett,5678198,AMHI
9,17417,Baylor County SUD,13600000,AMHI
10,17497,Brownsville PUB,55164000,HCF
11,17605,Bynum,499000,AMHI
12,17404,Carbon,400000,AMHI
13,17321,Carl's Corner,11607800,AMHI
14,17831,Chester WSC,29110000,AMHI
15,17258,Chico,1625000,AMHI
16,17416,Colorado Co WCID # 2,750000,AMHI
17,17264,Del Rio,42241888,AMHI
18,17298,Eldorado,4935000,AMHI
19,17451,Everman,2938089,AMHI
20,17276,Flat WSC,1623032.19,AMHI
21,17278,Fort Griffin SUD,4599000,AMHI
22,17279,Fort Stockton,6250000,AMHI
23,17818,Freeport,12810000,AMHI
24,17288,Gordon,8800000,AMHI
25,17289,Graford,1301500,AMHI
26,17443,Grandview,2500000,AMHI
27,17444,Grandview,4560000,AMHI
28,17419,Haltom City,16308700,AMHI
29,17462,Henderson,47675000,AMHI
30,17296,Hico,5000000,AMHI
31,17466,Hidalgo Co DD # 1,71380000,HCF
32,17285,Hitchcock,9100000,AMHI
33,17471,Holiday Harbor Gold Coast WSC,3459450,AMHI
34,17807,Hurst,21700000,AMHI
35,17434,Itasca,17633000,AMHI
36,17311,Jayton,625000,AMHI
37,17481,Johnson County SUD,396827000,AMHI
38,17499,Johnson County SUD,336695000,AMHI
39,17314,Josephine,8232000,AMHI
40,17320,Kirby,5236200,HCF
41,17825,Lake Livingston WSSSC,6553760,AMHI
42,17826,Lake Livingston WSSSC,22662106,AMHI
43,17827,Lake Livingston WSSSC,22662106,AMHI
44,17463,Liverpool,1411665,AMHI
45,17287,Lone Oak,808000,AMHI
46,17346,Madisonville,9945000,AMHI
47,17578,McCamey,2919000,HCF
48,17315,Midland Co UD,2515678,AMHI
49,17355,Millersview-Doole WSC,67675000,AMHI
50,17593,Morgan Mill WSC,1500000,AMHI
51,17800,Navarro Mills WSC,2500000,AMHI
52,17498,Norwood WSC,3275475.38,AMHI
53,17611,Pleasant Grove WSC,4382105,AMHI
54,17810,Raywood WSC,10880000,AMHI
55,17686,Sheridan WSC,4000000,AMHI
56,17569,Snyder,7466000,HCF
57,17335,South Newton WSC,2633858,HCF
58,17411,South Plains WSC,11200000,AMHI
59,17882,South Plains WSC,1800000,AMHI
60,17627,Tehuacana,499000,AMHI
61,17405,Terrell,14550000,AMHI
62,17468,"Texas Water Utilities, L.P.",3347000,AMHI
63,17469,"Texas Water Utilities, L.P.",13864000,AMHI
64,17775,"Texas Water Utilities, L.P.",90364000,AMHI
65,17743,Tri-Try WSC,600000,AMHI
66,17761,Tri-Try WSC,275000,AMHI
67,17293,Upper Jasper Co WA,5085000,AMHI
68,17804,Upper Jasper Co WA,12190000,AMHI
69,17460,Upper Jasper Co WA,3870000,AMHI
70,17770,Walker Co SUD,6275000,AMHI
71,17854,West Cedar Creek MUD,5960024.7,AMHI
72,17447,West Tawakoni,8670000,AMHI
73,17414,Willow Park,5000000,AMHI
74,17892,Woden WSC,3347000,AMHI
