"Self1Score",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"Federal2Equivalency"
919,"PEWAUKEE, CITY OF",5250-09,Treat Well #8 for PFAS (EC1),"$2,800,000.00",SE,Binder,Yes
685,"RHINELANDER, CITY OF",5288-15,Add Treatment at Well #7 for PFAS (EC1),"$7,000,000.00",NO,Andruczyk,Yes
668,"MOSINEE, CITY OF",5536-08,Construct New Well (West) & Treatment (EC2),"$42,000,000.00",WC,Jaromin,Yes
664,"MOSINEE, CITY OF",5536-11,Construct PFAS Treatment Facility (EC1),"$25,000,000.00",WC,Jaromin,Yes
660,"MOSINEE, CITY OF",5536-10,Construct New Well (East) (EC2),"$30,000,000.00",WC,Jaromin,Yes
536,"LA CROSSE, CITY OF",5406-18,Construct Looping Main on Valley Place,"$8,200,000.00",WC,Jaromin,Yes
536,"LA CROSSE, CITY OF",5406-13,Highway 16 Water Transmission Main for PFAS Mitigation – North (EC2),"$4,600,000.00",WC,Jaromin,Yes
536,"LA CROSSE, CITY OF",5406-14,Highway 16 Water Transmission Main for PFAS Mitigation – South (EC2),"$8,200,000.00",WC,Jaromin,Yes
536,"LA CROSSE, CITY OF",5406-15,Highway 16 Water Transmission Main for PFAS Mitigation (EC2),"$12,800,000.00",WC,Jaromin,Yes
516,GOODMAN SD #1,4811-02,Install GAC Treatment System at WTP,"$2,800,000.00",NE,Hannes,
504,GOODMAN SD #1,4811-03,Modify Water Tank,"$2,500,000.00",NE,Hannes,
396,"STANLEY, CITY OF",4913-10,Rehab Northwest WTP,"$500,000.00",WC,Jaromin,
396,"STANLEY, CITY OF",4913-08,Rehab Well #3,"$600,000.00",WC,Jaromin,
386,"CUMBERLAND, CITY OF",4791-13,Construct Treatment for Mn at Well #6 (EC1),"$2,600,000.00",NO,Andruczyk,Yes
383,"OSHKOSH, CITY OF",4874-16,Water Treatment Facility Improvements,"$45,461,400.00",NE,Hannes,Yes
378,"KAUKAUNA, CITY OF",5120-20,Construct WTP1,"$10,000,000.00",NE,Hannes,
377,BROCKWAY SD #1,5465-03,Construct New Well #4; Abandon Well #2 (EC2),"$700,000.00",WC,Jaromin,Yes
377,BROCKWAY SD #1,5645-01,Construct Well #3; Abandon Well #1 (EC2),"$700,000.00",WC,Jaromin,Yes
376,"FAIRCHILD, VILLAGE OF",5053-03,Construct Well #3,"$1,300,000.00",WC,Jaromin,
366,"PRESCOTT, CITY OF",4991-12,Treat Well #4 for PFAS (EC1),"$4,650,000.00",WC,Jaromin,Yes
354,"MARSHFIELD, CITY OF",5364-23,Construct Treatment for PFAS for Southside Wellfield (EC1),"$8,000,000.00",WC,Jaromin,Yes
353,BROCKWAY SD #1,5645-02,Treat Well 2 for PFAS (EC1),"$2,686,500.00",WC,Jaromin,Yes
352,"EAST TROY, VILLAGE OF",4798-04,Construct Well #10 (EC2),"$7,300,000.00",SE,Binder,Yes
346,"MARSHFIELD, CITY OF",5364-22,Reconstruct Well #6,"$850,000.00",WC,Jaromin,
342,"CLAYTON, VILLAGE OF",5631-03,Construct Wellhouse and Manganese Treatment at Well No. 2 (EC1),"$6,037,550.00",NO,Andruczyk,Yes
340,"BANGOR, VILLAGE OF",5145-06,"Construct Well /House 3, Con.Main, Treatment; Abandon Well 1","$2,650,000.00",WC,Jaromin,
338,"CLAYTON, VILLAGE OF",5631-04,Rehab Well No. 3 and Manganese Treatment (EC1),"$5,140,500.00",NO,Andruczyk,Yes
334,"KAUKAUNA, CITY OF",5120-22,Replace Building/Install emergency generator at Well #4,"$700,000.00",NE,Hannes,
334,"PEPIN, VILLAGE OF",5495-06,Upgrade Well #2 Wellhouse,"$1,200,000.00",WC,Jaromin,
334,"PEPIN, VILLAGE OF",5495-05,Upgrade Wellhouse for Wells #1/3,"$1,200,000.00",WC,Jaromin,
324,"DALLAS, VILLAGE OF",5504-09,Creation of a central manganese  treatment plant (EC1),"$48,333.00",NO,Andruczyk,Yes
324,"DALLAS, VILLAGE OF",5504-07,Installation of manganese treatment at Well No. 1,"$4,000,000.00",NO,Andruczyk,
324,"DALLAS, VILLAGE OF",5504-08,Installation of manganese treatment at Well No. 2 (EC1),"$48,333.00",NO,Andruczyk,Yes
316,"DANE, VILLAGE OF",5332-03,Rehab/Upgrade Well #2,"$1,250,000.00",SC,Zettl,
307,"SPARTA, CITY OF",4909-09,Extend WM on Idol Ave,"$1,900,000.00",WC,Jaromin,
271,"TOMAHAWK, CITY OF",5342-08,Construct New Well #6 due to PFAS (EC2),"$3,000,000.00",NO,Andruczyk,Yes
261,"CAMPBELL, TOWN OF",4778-01,"Construct New Water System, Concept 1: Independent System (EC2)","$65,000.00",WC,Jaromin,Yes
260,"CAMPBELL, TOWN OF",4778-04,Construct Well 1 (Phase 1 of New Water System) (EC2),"$1,000,000.00",WC,Jaromin,Yes
254,"RANDOLPH, VILLAGE OF",4888-13,Construct New Well to Replace Well 4,"$400,000.00",SC,Zettl,
254,"RANDOLPH, VILLAGE OF",4888-14,Treat Well #4 for Radium,"$400,000.00",SC,Zettl,
246,"OAK CREEK, CITY OF",4869-08,Construct New CL contact tank/UV disinfection/lift pumps/piping,"$52,000,000.00",SE,Binder,Yes
233,DOWNSVILLE SD,5193-04,Construct Well #3,"$1,521,000.00",WC,Jaromin,
212,"GREEN LAKE, CITY OF",5460-05,Construct Well No. 3 and Wellhouse (EC2),"$3,700,000.00",NE,Hannes,Yes
206,"CURTISS, VILLAGE OF",4972-14,Construct Well #14,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-15,Construct Well #15,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-16,Construct Well #16,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-17,Construct Well #17,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-18,Construct Well #18,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-19,Construct Well #19,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-20,Construct Well #20,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-21,Construct Well #21,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-22,Construct Well #22,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-23,Construct Well #23,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-24,Construct Well #24,"$1,500,000.00",WC,Jaromin,
206,"CURTISS, VILLAGE OF",4792-25,Construct Well #25,"$1,500,000.00",WC,Jaromin,
198,"PEWAUKEE, VILLAGE OF",5204-05,Treat Well #6 for PFAS (EC1),"$5,100,000.00",SE,Binder,Yes
192,"ELKHORN, CITY OF",5525-14,Centralia St. Water Improvements - Phase 3,"$2,588,700.00",SE,Binder,
