Municipality,Number,Project Description,Project Cost,Region,CME
"AVOCA, VILLAGE OF",4761I05,INELIGIBLE: Extend WM to Clyde St,"$878,000",SC,Zettl
"BEAVER DAM, CITY OF",4764I17,INELIGIBLE: Replace Hardness Removal Process,"$32,000,000",SC,Zettl
"CALEDONIA, VILLAGE OF",5390I18,INELIGIBLE: Extend WM to White Manor Ct,"$675,000",SE,BINDEB
"COLFAX, VILLAGE OF",5472I03,INELIGIBLE:  Dunn St Watermain Extension,"$525,000",WC,Jaromin
"DOUSMAN, VILLAGE OF",5382I07,INELIGIBLE: Construct Elevated Storage Tank,"$2,000,000",SE,BINDEB
"DOUSMAN, VILLAGE OF",5382I05,INELIGIBLE: Construct New Well #3,"$2,000,000",SE,BINDEB
"ELK MOUND, VILLAGE OF",5575I04,INELIGIBLE: Construct Elevated Tank,"$1,590,000",WC,Jaromin
"ELK MOUND, VILLAGE OF",5575I05,INELIGIBLE: Construct Looping Mains,"$795,000",WC,Jaromin
"ELKHORN, CITY OF",5525I16,INELIGIBLE: Construct Raw Water Line from Well 10 to NE WTP,"$2,800,000",SE,BINDEB
"EVANSVILLE, CITY OF",4803I10,INELIGIBLE: Construct NW Booster Station,"$2,000,000",SC,Zettl
"HAWKINS, VILLAGE OF",5507I06,INELIGIBLE: Maintain Elevated Storage Tank,"$100,000",NO,ANDRUD
"LAKE DELTON, VILLAGE OF",5389I05,INELIGIBLE: Extend WM on Clara and Trout,"$1,000,000",SC,Zettl
"LAKE DELTON, VILLAGE OF",5389I06,INELIGIBLE: Extend WM on CTY A,"$1,000,000",SC,Zettl
"LAKE DELTON, VILLAGE OF",5389I10,INELIGIBLE: Extend WM on STH 12,"$1,000,000",SC,Zettl
"LAKE DELTON, VILLAGE OF",5389I09,INELIGIBLE: Extend WM on Xanadu Rd,"$1,000,000",SC,Zettl
"LONE ROCK, VILLAGE OF",5465I05,INELIGIBLE: Construct Well #3,"$1,500,000",SC,Zettl
"LUXEMBURG, VILLAGE OF",5200I04,INELIGIBLE: Increase Elevation of Elevated Tank,"$2,250,000",NE,Hannes
"MATTOON, VILLAGE OF",4842I07,INELIGIBLE: Extend WM on Park Ave,"$566,995",NE,Hannes
"MILTON, CITY OF",4850I07,INELIGIBLE: Construct Elevated Tank,"$3,250,000",SC,Zettl
"MILTON, CITY OF",4850I05,INELIGIBLE: Extend WM on Vickerman Rd,"$750,000",SC,Zettl
"MONTELLO, CITY OF",5528I09,INELIGIBLE:  Construct New Well #2,"$2,300,000",NE,Hannes
"MONTELLO, CITY OF",5528I10,INELIGIBLE: Construct Well #3,"$1,725,000",NE,Hannes
"NEKOOSA, CITY OF",4858I18,INELIGIBLE: Construct Connecting Mains for Fairview Project,"$1,437,822",WC,Jaromin
"OCONOMOWOC, CITY OF",5252I16,INELIGIBLE: Blue Dahlia Hydrant and Valve Replacement only,"$1,700,000",SE,BINDEB
"OCONOMOWOC, CITY OF",5452I14,INELIGIBLE: Lake Bluff Hydrant and Valve Replacement only,"$2,100,000",SE,BINDEB
"RANDOLPH, VILLAGE OF",4888I15,INELIGIBLE: Extend WM on Cambria/2nd,"$500,000",SC,Zettl
"RAYMOND, VILLAGE OF",5703I01,INELIGIBLE: Construct New Water System,"$14,000,000",SE,BINDEB
"SUAMICO, VILLAGE OF",5392I06,INELIGIBLE: Construct New Water Tower,"$9,812,000",NE,Hannes
"TWO RIVERS, CITY OF",4920I59,INELIGIBLE: Riverview to CTH W Loop,"$250,000",NE,Hannes
"VALDERS, VILLAGE OF",4923I05,INELIGIBLE: Mitigative Measures for Well #2,"$600,000",NE,Hannes
"WATERLOO, CITY OF",4962I16,INELIGIBLE:  Blue Grass WM Extension,"$335,000",SC,Zettl
"WATERLOO, CITY OF",4962I14,INELIGIBLE: Extend WM on STH 89,"$1,454,000",SC,Zettl
"WATERLOO, CITY OF",4962I18,INELIGIBLE: Maple Drive Water Main Loop,"$550,000",SC,Zettl
