Municipality,Project Number,Project Description,Estimated Project Cost,Region,CME
"BLACK RIVER FALLS, CITY OF",5244U07,UNDETERMINED:  Construct Well #7,"$2,575,000.00",WC,Jaromin
"BUFFALO CITY, CITY OF",4775U01,UNDETERMINED: Create New Water System,"$12,500,000.00",WC,Jaromin
"CLEVELAND, VILLAGE OF",4784U04,UNDETERMINED: Treat Arsenic at Well #1,"$1,500,000.00",NE,Hannes
"CLEVELAND, VILLAGE OF",4784U05,UNDETERMINED: Treat for Arsenic at Well #2,"$1,500,000.00",NE,Hannes
"CRANDON, CITY OF",5397U06,UNDETERMINED:  USH 8/W Looping Mains,"$2,033,728.00",NO,Andruczyk
"CURTISS, VILLAGE OF",4792U11,UNDETERMINED:  Transmission Mains for New Wells,"$4,263,850.00",WC,Jaromin
"CURTISS, VILLAGE OF",4792U10,UNDETERMINED: Treatment for new well(s),"$10,276,500.00",WC,Jaromin
"DICKEYVILLE, VILLAGE OF",4794U11,UNDETERMINED: Replace Water Meters,"$250,000.00",SC,Zettl
"ELKHORN, CITY OF",5525U18,UNDETERMINED: Extend WM on Jefferson St (Lincoln St east),"$1,716,900.00",SE,Binder
GOODMAN SD #1,4811U04,UNDETERMINED: Replace Water Tower,"$2,500,000.00",NE,Hannes
"HILBERT, VILLAGE OF",4987U04,UNDETERMINED: Construct Well #5,"$8,500,000.00",NE,Hannes
"HILLSBORO, CITY OF",5492U04,UNDETERMINED Construct Well/House #4,"$950,000.00",WC,Jaromin
"INDEPENDENCE, CITY OF",4821U06,UNDETERMINED:  Construct North Zone Booster Station,"$650,000.00",WC,Jaromin
"LA CROSSE, CITY OF",5406U17,UNDETERMINED: Bulk Fill Station,"$125,000.00",WC,Jaromin
"LAKE DELTON, VILLAGE OF",5389U08,UNDETERMINED: Construct Well #8,"$4,750,000.00",SC,Zettl
"LAKE DELTON, VILLAGE OF",5389U07,UNDETERMINED: Construction Well #9,"$4,750,000.00",SC,Zettl
"LAKE HALLIE, VILLAGE OF",5267U13,UNDETERMINED: Construct New Well #6,"$3,350,000.00",WC,Jaromin
"LAKE HALLIE, VILLAGE OF",5267U14,UNDETERMINED: Reroute Well #1 for Treatment,"$4,075,000.00",WC,Jaromin
"LAKE HALLIE, VILLAGE OF",5267U15,UNDETERMINED: Reroute Well #3 for Treatment,"$4,075,000.00",WC,Jaromin
"MCFARLAND, VILLAGE OF",4990U15,UNDETERMINED: Replace Hydrants throughout Village,"$386,000.00",SC,Zettl
"MCFARLAND, VILLAGE OF",4990U14,UNDETERMINED: Replace WM on Severson Rd,"$386,000.00",SC,Zettl
"MELLEN, CITY OF",5444U07,UNDETERMINED: Watermain Extensions System-Wide,"$2,400,000.00",NO,Andruczyk
"MONTREAL, CITY OF",5621U16,UNDETERMINED: Construct Transmission Main from Well #3 to Well #5,"$750,000.00",NO,Andruczyk
"MONTREAL, CITY OF",5621U17,UNDETERMINED: Construct Transmission Main from Well #4 to Well #5,"$750,000.00",NO,Andruczyk
"NEW GLARUS, VILLAGE OF",5623U09,UNDETERMINED: Booster Station Connecting Main,"$200,000.00",SC,Zettl
"PEWAUKEE, CITY OF",5250U10,UNDETERMINED: Construct Well #13 (EC2),"$3,600,000.00",SE,Binder
"POTOSI, VILLAGE OF",5604U08,UNDETERMINED: Abandon Water Tower,"$150,000.00",SC,Zettl
"POTOSI, VILLAGE OF",5604U07,UNDETERMINED: Extend WM on Stage Rd,"$350,000.00",SC,Zettl
"RACINE, CITY OF",4887U28,UNDETERMINED: Install Disinfection System,"$7,000,000.00",SE,Binder
"READSTOWN, VILLAGE OF",5523U09,UNDETERMINED: Replace Water Meters,"$220,000.00",WC,Jaromin
"RHINELANDER, CITY OF",5288U21,UNDETERMINED: Construct Well No. 9 (EC2),"$7,200,000.00",NO,Andruczyk
"RIDGEWAY, VILLAGE OF",5206U12,UNDETERMINED: Replace WM on Farwell/Meudt,"$765,850.00",SC,Zettl
"RIDGEWAY, VILLAGE OF",5206U13,UNDETERMINED: Replace WM on Main St,"$1,760,000.00",SC,Zettl
"SHELL LAKE, CITY OF",5522U07,UNDETERMINED: Replace WM on Donovan Grove,"$600,000.00",NO,Andruczyk
"STANLEY, CITY OF",4913U11,UNDETERMINED: Construct New Well,"$1,700,000.00",WC,Jaromin
"TENNYSON, VILLAGE OF",5509U05,UNDETERMINED: Potosi-Tennyson Connecting Main,"$350,000.00",SC,Zettl
"TOMAHAWK, CITY OF",5342U09,UNDETERMINED: Construct Redundant River Crossing Transmission Main,"$2,000,000.00",NO,Andruczyk
"TREMPEALEAU, VILLAGE OF",4943U03,UNDETERMINED: Upgrade Fe/Mn Treatment,"$405,000.00",WC,Jaromin
"VALDERS, VILLAGE OF",4923U04,UNDETERMINED: Construct Well #3 (EC2),"$3,500,000.00",NE,Hannes
"WESTBY, CITY OF",5440U06,UNDETERMINED Construct elevated storage reservoir in NW area,"$2,100,000.00",WC,Jaromin
"WISCONSIN DELLS, CITY OF",4996U11,UNDETERMINED: Construct New Public Works Campus,"$4,325,000.00",SC,Zettl
